# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.921114029082912511e-01 nan -9.921111885037576794e-01
1.007951540180182848e+00 -7.888164476017077778e-03 1.267617718109902114e+02 -1.267722044894433822e+02 7.888813683442852387e-03 inf 9.842225909296946629e-01 -inf -1.464687046026564854e+00
1.016030547906151771e+00 -1.577632897972877646e-02 6.338088579570842995e+01 -6.338610213345030076e+01 1.577762739421528781e-02 5.188594731328540547e+03 9.686316670494424796e-01 -inf -1.906697496310753914e+00
1.024240113005621122e+00 -2.366449351203455884e-02 4.225392378903252677e+01 -4.225740134651311308e+01 2.366644113320337528e-02 1.914655024557418983e+03 9.531652099049561233e-01 -2.527585608297638828e+05 -1.861213947750829600e+00
1.032583425983478076e+00 -3.155265807386251758e-02 3.169044278447998764e+01 -3.169305095181114140e+01 3.155525490132116140e-02 1.004713090912994744e+03 9.378232194965038238e-01 -7.708774171950689924e+04 -1.816459525404051645e+00
1.041063782155967843e+00 -3.944082266618428867e-02 2.535235418074475788e+01 -2.535444071397066423e+01 3.944406869952554739e-02 6.177563623210547803e+02 9.226056958245625328e-01 -3.438588623940613616e+04 -1.772428337886302607e+00
1.049684585990284358e+00 -4.732898729000666049e-02 2.112696177739391956e+01 -2.112870055453618789e+01 4.733288252880785141e-02 4.166745483570721262e+02 9.075126388897124530e-01 -1.834523838159364095e+04 -1.729114493835276711e+00
1.058449355661572389e+00 -5.521715194638558699e-02 1.810882434566651966e+01 -1.811031472559421118e+01 5.522169639020779730e-02 2.988138719600207764e+02 8.925440486923831296e-01 -1.075224607896228554e+04 -1.644095454573469173e+00
1.067361727840155261e+00 -6.310531663641395783e-02 1.584522127118386692e+01 -1.584652535318973854e+01 6.311051028480119118e-02 2.266055692145375815e+02 8.784497303244892530e-01 -7.128892427678133572e+03 -1.646020239968188470e+00
1.075506674232515891e+00 -7.019991574767990572e-02 1.424385905406243857e+01 -1.424503134155185613e+01 7.020569328891201888e-02 1.772140827631280331e+02 8.644673570850248678e-01 -5.050970929920969866e+03 -1.652506430985352104e+00
1.083776883277237202e+00 -7.729451488795535674e-02 1.293646395209255573e+01 -1.293752863899308814e+01 7.730087632163529232e-02 1.436930962917025454e+02 8.513235803990871764e-01 -3.520099849833775352e+03 -1.571030649178467353e+00
1.092175267023393959e+00 -8.438911405814035482e-02 1.184889445432187749e+01 -1.184986963260503501e+01 8.439605938385674744e-02 1.185389717830178000e+02 8.382804869318801755e-01 -2.628156577010724050e+03 -1.535065442984899775e+00
1.100704828488983544e+00 -9.148371325916775099e-02 1.093000786667552937e+01 -1.093090741919341724e+01 9.149124247649420560e-02 9.920380574817420438e+01 8.253380766837936644e-01 -2.006612393848308557e+03 -1.499653352422528840e+00
1.109368665241084351e+00 -9.857831249200951773e-02 1.014338428347369536e+01 -1.014421909566627278e+01 9.858642560050390191e-02 8.403848582703083991e+01 8.124963496551852460e-01 -1.561177691518275196e+03 -1.464790091294063012e+00
1.118169973146438956e+00 -1.056729117576727661e-01 9.462384342582522478e+00 -9.463163107430807131e+00 1.056816087568764884e-01 7.193761152981522855e+01 7.997553058465355358e-01 -1.234293783795470517e+03 -1.430471373405415525e+00
1.127112050301995572e+00 -1.127675110572086276e-01 8.867072584163375737e+00 -8.867802353930514414e+00 1.127767919466458046e-01 6.213793594285870370e+01 7.871149452582424377e-01 -9.707060349685193614e+02 -1.362742719861816942e+00
1.136198301155573409e+00 -1.198621103917073827e-01 8.342233441756889079e+00 -8.342920016442365139e+00 1.198719751708839931e-01 5.443740473095642329e+01 7.751873331008066748e-01 -8.118714938795578746e+02 -1.364527814312974874e+00
1.144527840802438412e+00 -1.262669002417833586e-01 7.919080169243714273e+00 -7.919731917748361383e+00 1.262772921385264535e-01 4.799855209217076180e+01 7.633506147121404961e-01 -6.916208278689205144e+02 -1.369829478471363160e+00
1.152980411129993277e+00 -1.326716901221473566e-01 7.536782751798433821e+00 -7.537403036618634644e+00 1.326826091360241433e-01 4.283054793706088503e+01 7.521987041468980451e-01 -5.638998836215791925e+02 -1.304789660715015787e+00
1.161558758238363964e+00 -1.390764800337001283e-01 7.189696673016769957e+00 -7.190288392096825909e+00 1.390879261642624654e-01 3.839481973208361865e+01 7.411288497292537469e-01 -4.783546813442170560e+02 -1.276093177857992700e+00
1.170265710565872030e+00 -1.454812699773789242e-01 6.873171412223531895e+00 -6.873737080762983176e+00 1.454932432241626827e-01 3.456204403347172871e+01 7.301410514595405576e-01 -4.083567601423813471e+02 -1.247820553708497204e+00
1.179104181998340328e+00 -1.518860599541505541e-01 6.583340868506072141e+00 -6.583882683518601731e+00 1.518985603166748133e-01 3.123002733013451149e+01 7.192353093380298157e-01 -3.506095416914375278e+02 -1.219968634687650821e+00
1.188077175120382689e+00 -1.582908499650232392e-01 6.316964664124520290e+00 -6.317484555935893198e+00 1.583038774427895090e-01 2.831717460916146223e+01 7.084116233651867045e-01 -3.026116545485941174e+02 -1.192534267225797917e+00
1.197187784616269957e+00 -1.646956400110418661e-01 6.071306476891414228e+00 -6.071806150623999088e+00 1.647091946035332821e-01 2.575771842172353843e+01 6.976699935412545850e-01 -2.571615320016318265e+02 -1.138194923375111856e+00
1.206439200828492986e+00 -1.711004300932907340e-01 5.844039698801095639e+00 -5.844520668093939442e+00 1.711145117999711696e-01 2.359516794741047008e+01 6.875120589213322697e-01 -2.302855333380322236e+02 -1.139737175572154371e+00
1.214947586638478016e+00 -1.769047132591858862e-01 5.652295450783897834e+00 -5.652760639197239811e+00 1.769192726578567854e-01 2.166789294106149200e+01 6.774284869457425362e-01 -2.082529755801421913e+02 -1.143999620337500245e+00
1.223576835236505733e+00 -1.827089964566317448e-01 5.472733830296951929e+00 -5.473184240478067508e+00 1.827240335468205412e-01 2.002620458753718680e+01 6.679066116650828056e-01 -1.796883950091597342e+02 -1.091727684768467155e+00
1.232329540353460873e+00 -1.885132796865325866e-01 5.304229535987723843e+00 -5.304666077969891091e+00 1.885287944677502825e-01 1.854455757589272125e+01 6.584521268597316457e-01 -1.600958645780357017e+02 -1.068629525742510911e+00
1.241208370470677558e+00 -1.943175629498227752e-01 5.145791717908537066e+00 -5.146215220176586946e+00 1.943335554215632754e-01 1.720346871038434955e+01 6.490650325296773993e-01 -1.430272193093264832e+02 -1.045859479252449598e+00
1.250216071532330053e+00 -2.001218462474668169e-01 4.996544479545753425e+00 -4.996955698496901022e+00 2.001383164092060962e-01 1.598629675828949281e+01 6.397453286753668200e-01 -1.281034936974826905e+02 -1.023415198156683914e+00
1.259355469776805680e+00 -2.059261295804713787e-01 4.855710677295315136e+00 -4.856110305366673430e+00 2.059430774316667323e-01 1.487876188879417327e+01 6.304930152973272639e-01 -1.150107729324271304e+02 -1.001294335351253562e+00
1.268629474693164116e+00 -2.117304129498765453e-01 4.722598384622414436e+00 -4.722987057304480984e+00 2.117478384899657007e-01 1.386855702844557037e+01 6.213080923958848034e-01 -1.013845763574805829e+02 -9.573321275938840857e-01
1.278041082109209192e+00 -2.175346963567611758e-01 4.596589523208836958e+00 -4.596967825123309481e+00 2.175525995851613770e-01 1.298432899849332856e+01 6.126046782877528907e-01 -9.380864963377759125e+01 -9.586615280340735623e-01
1.286722969051614429e+00 -2.228136600977681236e-01 4.487685834890431380e+00 -4.488055173821979160e+00 2.228319977805254259e-01 1.217123075552297351e+01 6.039625554467369373e-01 -8.737409813471008135e+01 -9.621148559238941189e-01
