# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 2.495203373720074502e+00 nan -3.314436551967069988e+00
1.000576368876080702e+00 -1.741146900248598218e-04 6.953341031329541693e+02 -5.743340782200637477e+03 1.438157564103814678e-03 inf 2.493293035649776446e+00 -inf -4.966394383508569987e+00
1.001153402537485526e+00 -3.484119015337913271e-04 3.477328928463050488e+02 -2.870166017859218300e+03 2.875770514013442636e-03 3.317562655057152268e+06 2.489475121835981852e+00 -inf -6.611660671585345206e+00
1.001731102135025919e+00 -5.228919902077106864e-04 2.318659235231727962e+02 -1.912440845771543763e+03 4.312837284604520427e-03 1.242651883448867826e+06 2.485658331175436775e+00 -2.297082227494206429e+09 -6.602094624960642477e+00
1.002309468822170979e+00 -6.975553125908479394e-04 1.739325146656992445e+02 -1.433578071803105104e+03 5.749356305932873390e-03 6.619833387009402504e+05 2.481842662831761803e+00 -7.165962625396943092e+08 -6.592538898393311086e+00
1.002888503755055005e+00 -8.724022260935534795e-04 1.391725301748876689e+02 -1.146260257126812348e+03 7.185326003223302394e-03 4.132622082786373212e+05 2.478028115974331591e+00 -3.270197773799556494e+08 -6.582993477040266939e+00
1.003468208092485492e+00 -1.047433088994814080e-03 1.159992580182541673e+02 -9.547149221337526797e+02 8.620744796855817071e-03 2.830526804812760092e+05 2.474214689773690967e+00 -1.785291742220907211e+08 -6.573458347894636233e+00
1.004048582995951344e+00 -1.222648260444510800e-03 9.944696446805170353e+01 -8.178967184204196883e+02 1.005561110235053679e-02 2.061542193692240689e+05 2.470402383404042279e+00 -1.086291906295002401e+08 -6.563933495749187941e+00
1.004629629629629539e+00 -1.398048100466002096e-03 8.703278266080954495e+01 -7.152829717852173417e+02 1.148992333035325775e-02 1.568883989216480986e+05 2.466591196043346645e+00 -7.116428622276993096e+07 -6.554418903775636629e+00
1.005211349160393786e+00 -1.573632969958514488e-03 7.737734211717857136e+01 -6.354721965607792526e+02 1.292367988662135314e-02 1.234067952326897939e+05 2.462781126875150051e+00 -4.920575531855917722e+07 -6.544914562765111299e+00
1.005793742757821407e+00 -1.749403230699888949e-03 6.965302054986044311e+01 -5.716235013467575072e+02 1.435687917201178276e-02 9.960733317271652049e+04 2.458972175077937639e+00 -3.545873767081338167e+07 -6.535420462576250422e+00
1.006376811594202891e+00 -1.925359245347900818e-03 6.333314923090386372e+01 -5.193835916160705892e+02 1.578951958245655707e-02 8.208096852706500795e+04 2.455164339836870102e+00 -2.640346273526432365e+07 -6.525936580448694180e+00
1.006960556844547661e+00 -2.101501377444339215e-03 5.806661567525371481e+01 -4.758502710172438128e+02 1.722159950896140490e-02 6.879940091485841549e+04 2.451357620346787947e+00 -2.019178186529977992e+07 -6.516462905211136913e+00
