# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 4.858921313863186597e+00 nan -3.667337536635488338e+00
1.002624298380554002e+00 -2.260633623323284546e-04 7.842362653849146170e+01 -4.423538558760054002e+03 1.275125933521048527e-02 inf 4.849297125904849182e+00 -inf -5.466096188391924571e+00
1.005262406886979099e+00 -4.532921805805057314e-04 3.918652751427590175e+01 -2.206082616998502999e+03 2.551897459236962540e-02 5.597892972728075692e+05 4.830156491636502736e+00 -inf -7.249442007781874864e+00
1.007901745340287869e+00 -6.806053583324630195e-04 2.614915465517508153e+01 -1.469280233776118166e+03 3.824215402703634581e-02 2.089889238032341236e+05 4.811038580221113747e+00 -8.475135087007105350e+07 -7.201253212968380168e+00
1.010554979558995647e+00 -9.090962395987289574e-04 1.961486375618674316e+01 -1.099993550123357181e+03 5.098174590606519008e-02 1.112366137413835531e+05 4.792043335677274918e+00 -2.633280995857832581e+07 -7.156966848295792438e+00
1.013206879859480436e+00 -1.137455807963723810e-03 1.570731897999124094e+01 -8.791550344186140364e+02 6.366458854460455008e-02 6.928982470464245125e+04 4.773069908341502909e+00 -1.200115490273044258e+07 -7.111540430705726834e+00
1.015872735023976015e+00 -1.367003156706356106e-03 1.309521612248348355e+01 -7.315272061327131041e+02 7.636376449588155868e-02 4.741740667131281953e+04 4.754225902687460703e+00 -6.531532208147543482e+06 -7.066253464872610301e+00
1.018537443366579032e+00 -1.596440482263350316e-03 1.123503458545287792e+01 -6.263935368152604042e+02 8.900729164597320775e-02 3.447307747045204451e+04 4.735402795489743966e+00 -3.968798319502245169e+06 -7.021700107648892519e+00
1.021216167923748364e+00 -1.827075924720300820e-03 9.836026398621186217e+00 -5.473226298206986939e+02 1.016670715869754105e-01 2.621039915832331098e+04 4.716705919319914564e+00 -2.593125449158977717e+06 -6.977275884174708231e+00
1.023893941062992363e+00 -2.057623354799753557e-03 8.751025923655067373e+00 -4.859975941016276693e+02 1.142723160374694569e-01 2.058300697552119527e+04 4.698029033288921852e+00 -1.790339493753329618e+06 -6.933579401611599025e+00
1.026585794121112061e+00 -2.289379509863560466e-03 7.880609934640517622e+00 -4.367995763444203590e+02 1.268937313600988492e-01 1.659694531049057332e+04 4.679475189723519613e+00 -1.286970534967213403e+06 -6.889996312771162756e+00
1.029276904073074039e+00 -2.521070785574271254e-03 7.170424459917284388e+00 -3.966568514149083740e+02 1.394617578903460942e-01 1.365529219072765954e+04 4.660940437997675545e+00 -9.568006496830639662e+05 -6.847135937013321794e+00
1.031982160153315453e+00 -2.753981682293799981e-03 6.576962509595229101e+00 -3.631106214065653717e+02 1.520458720178327061e-01 1.143369878495074954e+04 4.642525537935141777e+00 -7.299578319606275763e+05 -6.804377668931961942e+00
1.034686891404309916e+00 -2.986851706989668200e-03 6.076155043164209069e+00 -3.348006858391577794e+02 1.645777622355142356e-01 9.706229567484257132e+03 4.624128841011809321e+00 -5.697732093549120473e+05 -6.762337357120927983e+00
1.037405837619967075e+00 -3.220952550769629573e-03 5.645709525550956620e+00 -3.104671628152532890e+02 1.771256554157223384e-01 8.343432668270736031e+03 4.605848801189428521e+00 -4.528177943256635335e+05 -6.720383621771572891e+00
1.040124491115899774e+00 -3.455037743021759783e-03 5.273635099183678676e+00 -2.894324387684994235e+02 1.896225243484883638e-01 7.243987659656273536e+03 4.587586084968291011e+00 -3.658958132268818445e+05 -6.679145111695962811e+00
1.042857431203846552e+00 -3.690365272500280291e-03 4.947181165946441084e+00 -2.709758861681690405e+02 2.021353102820302450e-01 6.348717400514703513e+03 4.569436816552706837e+00 -2.996051643935395987e+05 -6.637978512939750608e+00
1.045590324421179718e+00 -3.925703582504324295e-03 4.659869067109069007e+00 -2.547314077549558533e+02 2.145983042867745105e-01 5.606395773680192178e+03 4.551304000932532290e+00 -2.484464148265021795e+05 -6.597524324258068340e+00
1.048337578813669513e+00 -4.162296086347762498e-03 4.403790063316756154e+00 -2.402520097693139860e+02 2.270771280243183421e-01 4.987194374134163809e+03 4.533281409396375139e+00 -2.081283526309297886e+05 -6.557127348708469583e+00
1.051085046558998926e+00 -4.398927075926543223e-03 4.175235885936629643e+00 -2.273281604217934557e+02 2.395074260039490310e-01 4.462788306971179736e+03 4.515274408129084094e+00 -1.760997569235310366e+05 -6.517441834017923874e+00
1.053846953191865055e+00 -4.636824473910811963e-03 3.968986889578929311e+00 -2.156648382155763102e+02 2.519534651589867558e-01 4.016994885333198908e+03 4.497374382344657029e+00 -1.502020751879248710e+05 -6.477795780849595175e+00
1.056609351000826091e+00 -4.874789621370783851e-03 3.782830839689679703e+00 -2.051370577339502574e+02 2.643522912808953240e-01 3.633026315838868413e+03 4.479489092123687399e+00 -1.291511338551970111e+05 -6.438861057173077995e+00
1.059386268748484738e+00 -5.114033772760717862e-03 3.613150539836972541e+00 -1.955403590266413687e+02 2.767667687726956816e-01 3.301586000414034970e+03 4.461707499123745535e+00 -1.117751465203076659e+05 -6.399950046637640888e+00
1.062163972136434653e+00 -5.353376421622239693e-03 3.458587389247566701e+00 -1.867979983550211216e+02 2.891353860564312983e-01 3.012157724541423704e+03 4.443939794327794957e+00 -9.738484826401095779e+04 -6.361750905599033779e+00
1.064956280055076920e+00 -5.594011073646465090e-03 3.316534382773198342e+00 -1.787626064437066589e+02 3.015195636729164352e-01 2.759151294492729903e+03 4.426272474649835864e+00 -8.530373760353011312e+04 -6.323556981300862745e+00
1.067749687861047736e+00 -5.834776735153179503e-03 3.186141195054788877e+00 -1.713861635827865371e+02 3.138592858195049518e-01 2.535675296041117235e+03 4.408618202661855889e+00 -7.514234245374966122e+04 -6.286077696530089298e+00
1.070557788568407664e+00 -6.076847829099590002e-03 3.065467884981746050e+00 -1.645589996858898871e+02 3.262144760671517041e-01 2.338240823526436998e+03 4.391060956917264058e+00 -6.648972533498871780e+04 -6.248583963301697075e+00
1.073367325101832970e+00 -6.319084383117036345e-03 2.953976979191994090e+00 -1.582507748546200901e+02 3.385266733776414183e-01 2.162160138869703133e+03 4.373515924687438883e+00 -5.911638112384633132e+04 -6.211808704430849204e+00
1.076191646947278535e+00 -6.562640257788953171e-03 2.850186403892247533e+00 -1.523776956710582056e+02 3.508542454045772141e-01 2.005187504403331559e+03 4.356064506399863312e+00 -5.276179520260478603e+04 -6.174998879170915167e+00
1.079017763606777924e+00 -6.806398109807413124e-03 2.753756241966247131e+00 -1.469205861701050253e+02 3.631403479946272439e-01 1.864032859666885088e+03 4.338624473252579605e+00 -4.728596174823695765e+04 -6.138912418070584742e+00
1.081858762308131050e+00 -7.051489660662202223e-03 2.663529165668582444e+00 -1.418140064189061604e+02 3.754417308019175614e-01 1.737212504227213458e+03 4.321274581536487247e+00 -4.251759264856208029e+04 -6.102770107065045302e+00
1.084701939944038296e+00 -7.296821964681522374e-03 2.579292382556137575e+00 -1.370459639607838653e+02 3.877032347178016591e-01 1.622355365616652989e+03 4.303935251818260532e+00 -3.836880387078479544e+04 -6.067358273593598916e+00
1.087560100976263655e+00 -7.543502869630012639e-03 2.500125485809308934e+00 -1.325644090394635271e+02 3.999799232782480507e-01 1.518458959068712147e+03 4.286682517197833775e+00 -3.472334778068937885e+04 -6.031866485874555650e+00
1.090420853952846603e+00 -7.790465899802296798e-03 2.425898484180688985e+00 -1.283620277479653282e+02 4.122184034167180045e-01 1.423775525560945653e+03 4.269439526072931201e+00 -3.152475150332981502e+04 -5.997114126216595231e+00
1.093296696654721734e+00 -8.038792995489587798e-03 2.355868153555788602e+00 -1.243967845124362270e+02 4.244719716129561338e-01 1.337614205830245510e+03 4.252279498218159759e+00 -2.869191045896649302e+04 -5.962257260463230679e+00
1.096175574893696769e+00 -8.287446346041437220e-03 2.289958768565429903e+00 -1.206644312668953489e+02 4.366890852914618870e-01 1.258661587609733260e+03 4.235128399361407503e+00 -2.618782893140261149e+04 -5.928150647002727425e+00
1.099069654534877483e+00 -8.537479830613040749e-03 2.227562484095258366e+00 -1.171305841817952711e+02 4.489211894795209767e-01 1.186432972436534101e+03 4.218056534225794962e+00 -2.395451273083263368e+04 -5.893912064253679084e+00
1.101967248075148786e+00 -8.787886835648505215e-03 2.168639053796190375e+00 -1.137929992388442741e+02 4.611186901985858677e-01 1.119924878651818972e+03 4.200992786925032973e+00 -2.196736337750446546e+04 -5.860437247099647529e+00
