# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.145115070648251354e+00 nan -1.315656813944599879e+00
1.003465212506503779e+00 -2.804902632925005985e-03 2.520118697143409463e+02 -3.565186143225160436e+02 3.968067064196278970e-03 inf 1.140556040202303612e+00 -inf -1.942701131596050290e+00
1.006954523916258948e+00 -5.614147360686915986e-03 1.260712230944507297e+02 -1.781214378166314418e+02 7.932024259420522583e-03 3.426818438078847248e+04 1.131604509166423300e+00 -inf -2.586099938248925145e+00
1.010375879377685582e+00 -8.354036879316130773e-03 8.483052956840923287e+01 -1.197026077866513987e+02 1.178820885697262622e-02 1.281901124726698799e+04 1.122684365033481457e+00 -3.985230135409011971e+06 -2.559656706313633734e+00
1.013820563760489790e+00 -1.109808986663786759e-02 6.393690259513358853e+01 -9.010559582925299082e+01 1.564041984223540904e-02 6.905435482640722512e+03 1.114029804233321208e+00 -1.244816414148555137e+06 -2.533473593044901051e+00
1.017196265947366784e+00 -1.377318109027711804e-02 5.158275820336724138e+01 -7.260486836304858116e+01 1.938632277199014986e-02 4.328882094489468727e+03 1.105405095764836032e+00 -5.774036684982471634e+05 -2.509473020379537900e+00
1.020594523279383825e+00 -1.645225978636484856e-02 4.323690641807157675e+01 -6.078192375911610412e+01 2.312838921292559302e-02 2.994126406172685620e+03 1.097030735579513472e+00 -3.172465001740170992e+05 -2.482860565457746915e+00
1.023930548842451493e+00 -1.906884026225438844e-02 3.734961445259312995e+01 -5.244157412023841403e+01 2.677403808998546353e-02 2.192454414842097322e+03 1.088684810327993580e+00 -1.958290513017059420e+05 -2.459380818457180151e+00
1.027288454913929394e+00 -2.168925279442943804e-02 3.287746437978153580e+01 -4.610578379430549489e+01 3.041597090482939247e-02 1.683260124701149152e+03 1.080567808517448380e+00 -1.292981278967632825e+05 -2.434103807273508391e+00
1.030588782409313175e+00 -2.425181039491302107e-02 2.943885629486322131e+01 -4.123403505619344145e+01 3.396871094392650559e-02 1.331557279547493181e+03 1.072477978653179287e+00 -9.057794203797527007e+04 -2.411526212557057569e+00
1.033910383904433905e+00 -2.681805922919063695e-02 2.665398368954817698e+01 -3.728830604235263024e+01 3.751784392335055784e-02 1.083459424419643483e+03 1.064598853179155258e+00 -6.579945074807874335e+04 -2.387057124074300152e+00
1.037179413737348455e+00 -2.933123026530901414e-02 2.439911714872547677e+01 -3.409335343095826687e+01 4.098508949747947661e-02 8.978973580796910028e+02 1.056745765189445407e+00 -4.958515848848968017e+04 -2.365009037180239915e+00
1.040469181251719943e+00 -3.184796623535467164e-02 2.249778243838501623e+01 -3.139917923204441053e+01 4.444882524483084740e-02 7.582404184605795763e+02 1.049087238179789994e+00 -3.822719442322068062e+04 -2.341588885901288108e+00
1.043710039116987565e+00 -3.431524189216698245e-02 2.090463327096814083e+01 -2.914156931029142683e+01 4.783628524059191367e-02 6.482498719870073955e+02 1.041453725382497586e+00 -3.022144153614493553e+04 -2.320193225316131702e+00
