# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 8.457622783023417412e+00 nan -1.695532373034600360e+00
1.001418619530682896e+00 -3.033772602713293647e-06 8.334619043373177760e+01 -3.296225956769591430e+05 1.199814886314565232e-02 inf 8.455217467684125410e+00 -inf -2.526811727404217667e+00
1.002841269742114072e+00 -6.075397567188056199e-06 4.162581517156971245e+01 -1.645982816665018909e+05 2.402355355392526981e-02 7.739016099002195895e+07 8.450443429318324817e+00 -inf -3.351912882331215648e+00
1.004258698030171315e+00 -9.105107813127589993e-06 2.777926585294151351e+01 -1.098284633772504021e+05 3.599807155789580548e-02 2.897068451207604632e+07 8.445697771974858270e+00 -2.181111010781081390e+10 -3.322530984608791815e+00
1.005680138810978841e+00 -1.214265656765791792e-05 2.083342720365004652e+01 -8.235430150132958079e+04 4.799978372376478841e-02 1.547127514735412411e+07 8.441011198875774113e+00 -6.803462225286290169e+09 -3.293336941589845246e+00
1.007096259607954680e+00 -1.516811562911943962e-05 1.668057809825148396e+01 -6.592776745980366832e+04 5.994996061346480332e-02 9.665441505703153089e+06 8.436352725606708347e+00 -3.115670014339244843e+09 -3.264401721362963027e+00
1.008516374171660512e+00 -1.820139807891233319e-05 1.390293362484537099e+01 -5.494083452625400241e+04 7.192726563931373107e-02 6.634501680469587445e+06 8.431752587282174360e+00 -1.703129443781927109e+09 -3.235518067077915116e+00
1.009931186289636962e+00 -2.122266235524547103e-05 1.192558041939193458e+01 -4.711944162617449911e+04 8.385336099649465247e-02 4.837194403167064302e+06 8.427180269109284083e+00 -1.039578018621434808e+09 -3.206925780620211608e+00
1.011349973564448890e+00 -2.425173490814570346e-05 1.043770314707607483e+01 -4.123416340264047176e+04 9.580651853277999397e-02 3.688754038147745188e+06 8.422665444337491536e+00 -6.821897593702747822e+08 -3.178446213343417259e+00
1.012763421214348813e+00 -2.726874335097503004e-05 9.284333128738440521e+00 -3.667202361066058074e+04 1.077083282271109610e-01 2.905072741397798061e+06 8.418178162737534720e+00 -4.731119150258607864e+08 -3.150254146393102861e+00
1.014180825220332149e+00 -3.029354436413203479e-05 8.358608922196022917e+00 -3.301033342219319456e+04 1.196371321242858388e-01 2.349444390078687109e+06 8.413747542170721516e+00 -3.415726975317409635e+08 -3.122110818278635680e+00
1.015592908304834951e+00 -3.330635403292575390e-05 7.603700120686992747e+00 -3.002430103911785773e+04 1.315149182802924921e-01 1.938597203269210644e+06 8.409344190482148207e+00 -2.550825035841122568e+08 -3.094248763534573676e+00
1.017008929067416911e+00 -3.632694058745775800e-05 6.972546188799253919e+00 -2.752777921367977979e+04 1.434196307808482951e-01 1.628044580368446652e+06 8.404996685338732121e+00 -1.954629187025286257e+08 -3.066501570273179933e+00
1.018419586507999464e+00 -3.933547759700156752e-05 6.440263944543479724e+00 -2.542234291001025485e+04 1.552731392084094608e-01 1.386086431445855880e+06 8.400676177333487260e+00 -1.532590326596865654e+08 -3.039004967743034413e+00
1.019834162731175997e+00 -4.235177515733951574e-05 5.982524904211294903e+00 -2.361176116667924725e+04 1.671535039153898561e-01 1.195052002023146953e+06 8.396410786199533405e+00 -1.223417907078481317e+08 -3.011608807331892290e+00
1.021243344783263618e+00 -4.535598909634122318e-05 5.587136108368378373e+00 -2.204780492992639847e+04 1.789825736484575991e-01 1.040622787523934501e+06 8.392172122041925419e+00 -9.930865651242284477e+07 -2.984491514509067134e+00
1.022656426570911048e+00 -4.836794672769877216e-05 5.240034784183803751e+00 -2.067484910264615610e+04 1.908384278322613481e-01 9.147767717754672049e+05 8.387987763718138368e+00 -8.168191503546337783e+07 -2.957422926174984035e+00
