# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.129943613521018131e+00 nan -1.428116117761325077e+00
1.001954136672480900e+00 -1.672659558559781495e-03 4.528853717158104359e+02 -5.978502887108928689e+02 2.208064253017005818e-03 inf 1.127152879442739675e+00 -inf -2.132109259634557663e+00
1.003915925598781289e+00 -3.346914509251214427e-03 2.265597430225485880e+02 -2.987826540641828501e+02 4.413846814349864367e-03 1.014833414795090503e+05 1.121594432291816545e+00 -inf -2.825923321355694462e+00
1.005882430303362218e+00 -5.020233429927224711e-03 1.511940584523165683e+02 -1.991939247363835079e+02 6.614016517820897612e-03 3.791702972319894616e+04 1.116051822858099118e+00 -2.063212156601573899e+07 -2.804243728583855066e+00
1.007856654241414462e+00 -6.695146526021885681e-03 1.134828497197907922e+02 -1.493619289903993774e+02 8.811904199349740452e-03 2.017774906602122064e+04 1.110543668709661702e+00 -6.422489797620483674e+06 -2.787890909888997015e+00
1.009828262040052493e+00 -8.362887632104328353e-03 9.094187156151036788e+01 -1.195759220967044172e+02 1.099603497079593151e-02 1.257496565117853970e+04 1.105051274427428787e+00 -2.927608882695860695e+06 -2.769003134679096867e+00
1.011807598827853649e+00 -1.003220976115638645e-02 7.588462185019299966e+01 -9.967893652621680189e+01 1.317790054978651426e-02 8.610928599722734361e+03 1.099603490764868186e+00 -1.594963365700022783e+06 -2.750336942066148538e+00
1.013784120965415703e+00 -1.169422364903445130e-02 6.516393737992679291e+01 -8.551230333982591958e+01 1.534591125409867640e-02 6.265515585346760417e+03 1.094171329487400257e+00 -9.702750519207286416e+05 -2.731861620024270909e+00
1.015768380317350728e+00 -1.335780512198171503e-02 5.710476305155614085e+01 -7.486259837361990321e+01 1.751167409795861829e-02 4.767881134354295682e+03 1.088783183828408552e+00 -6.348208701790287159e+05 -2.713282883608182594e+00
1.017750093232795416e+00 -1.501433441324906241e-02 5.085436563324483927e+01 -6.660301898681385069e+01 1.966399516635153333e-02 3.747833619462875049e+03 1.083410524817454146e+00 -4.389004828262501978e+05 -2.694943348904316860e+00
1.019739553707377677e+00 -1.667241830815344855e-02 4.584194080896666890e+01 -5.997930123376054468e+01 2.181408514458882397e-02 3.024931216084710741e+03 1.078081096513609616e+00 -3.159942577985802782e+05 -2.676719719107738538e+00
1.021726416481330446e+00 -1.832343680425880389e-02 4.175226909245277795e+01 -5.457491466707687522e+01 2.395079409422473660e-02 2.491338305774808759e+03 1.072767021968553891e+00 -2.352855177132360404e+05 -2.658647991257783616e+00
1.023721036785609773e+00 -1.997599687125784299e-02 3.833578398300763723e+01 -5.006007992716672561e+01 2.608528888944205981e-02 2.088145908756383506e+03 1.067495734525440998e+00 -1.797978501173659461e+05 -2.640640390416957750e+00
1.025713083182269614e+00 -2.162154078934624968e-02 3.545276611548560908e+01 -4.625017290593544317e+01 2.820654379245191024e-02 1.774544203811454508e+03 1.062239668854923602e+00 -1.405721389632202918e+05 -2.622875206108078672e+00
1.027712897292058392e+00 -2.326861331256527624e-02 3.297543829182470176e+01 -4.297634700302447186e+01 3.032560147192708833e-02 1.527001538922097325e+03 1.057025582576834877e+00 -1.119048478413145494e+05 -2.605037521039245352e+00
1.029710369080911292e+00 -2.490888877279672994e-02 3.083395622593626939e+01 -4.014631118719800185e+01 3.243177724818979701e-02 1.327228533545725213e+03 1.051826589106640952e+00 -9.057550651634803216e+04 -2.587464450812752670e+00
1.031715620597841054e+00 -2.655068025383529318e-02 2.895548395653035456e+01 -3.766381841970125066e+01 3.453577227378612502e-02 1.164452848056041603e+03 1.046668678316682533e+00 -7.429448757841823681e+04 -2.569901795340082895e+00
1.033718636708313099e+00 -2.818578857257510173e-02 2.730218477031914759e+01 -3.547887253269913543e+01 3.662710542810199144e-02 1.029436344090745706e+03 1.041525734934777514e+00 -6.171279074557708373e+04 -2.552486108444041335e+00
1.035729445427171935e+00 -2.982240051177712653e-02 2.582893169592357907e+01 -3.353184126157420764e+01 3.871627412905442878e-02 9.167485162741432987e+02 1.036423446198087683e+00 -5.179123424728214013e+04 -2.535225548687377817e+00
1.037737898271188675e+00 -3.145225722102336363e-02 2.451415257104876488e+01 -3.179422045841525701e+01 4.079276234826900716e-02 8.212738269867594454e+02 1.031336000333718195e+00 -4.389912914478718449e+04 -2.518147676963014447e+00
1.039754155702430571e+00 -3.308360499283289485e-02 2.332791199751037681e+01 -3.022645205129961354e+01 4.286710272684168821e-02 7.400672401302124399e+02 1.026288631367995974e+00 -3.751048214420048316e+04 -2.501002953737299084e+00
1.041768288490162675e+00 -3.470841033281556187e-02 2.225728684158325166e+01 -2.881146069241136587e+01 4.492910600997879200e-02 6.700919466437749179e+02 1.021255982491350300e+00 -3.231158103496151671e+04 -2.484111965020547430e+00
1.043790239673248355e+00 -3.633469454210300209e-02 2.128158667165249440e+01 -2.752190468647658861e+01 4.698897762787679344e-02 6.096549858432243809e+02 1.016262546884259876e+00 -2.801604141971836361e+04 -2.467225717375562954e+00
1.045810184778722451e+00 -3.795455542514199199e-02 2.039287533993472223e+01 -2.634729846782967400e+01 4.903673382643258805e-02 5.568540128092782879e+02 1.011283712021250780e+00 -2.445398836808752822e+04 -2.450547108506582639e+00
1.047837963047131504e+00 -3.957588317524098065e-02 1.957622394788958786e+01 -2.526791368298784590e+01 5.108237434665252596e-02 5.106720055410498276e+02 1.006343410074356015e+00 -2.146065742330031208e+04 -2.433885867266013747e+00
1.049863834224132653e+00 -4.119088928203563232e-02 1.882668441586411845e+01 -2.427721317578168225e+01 5.311609723257271209e-02 4.698600307471786550e+02 1.001417591925216177e+00 -1.893953769972033842e+04 -2.417412442384742732e+00
1.051897554141950186e+00 -4.280735041178340694e-02 1.813311583564242113e+01 -2.336047408635536726e+01 5.514772028502690215e-02 4.337852269552824396e+02 9.965297040507470339e-01 -1.679082782174174281e+04 -2.400976286569139972e+00
1.053929433285535788e+00 -4.441756418969558529e-02 1.749242961607102131e+01 -2.251361636422173973e+01 5.716758746202177388e-02 4.015952569149237661e+02 9.916561849880894952e-01 -1.495699492580628612e+04 -2.384675034691165152e+00
