# phi_h ps_radius shadow_radius
1.000000000000000021e-02 1.499972348747768969e+00 2.598179573120818819e+00
1.000000000000000056e-01 1.500177536592051997e+00 2.606433168653000010e+00
2.999999999999999889e-01 1.497702044042545477e+00 2.664352124241662345e+00
5.000000000000000000e-01 1.482439859130250781e+00 2.782098517844967311e+00
6.999999999999999556e-01 1.459610827039820924e+00 2.984545622384704888e+00
8.000000000000000444e-01 1.450608312904711594e+00 3.127248391257935189e+00
9.000000000000000222e-01 1.446034941210510461e+00 3.302263480430883913e+00
1.000000000000000000e+00 1.447278346406476457e+00 3.513695954977796632e+00
1.100000000000000089e+00 1.455202095912452975e+00 3.767971483994108084e+00
1.199999999999999956e+00 1.470337240363313480e+00 4.076062472614832899e+00
1.300000000000000044e+00 1.493227154672703838e+00 4.456405493047761901e+00
1.399999999999999911e+00 1.524800110220608573e+00 4.939813132545594065e+00
1.500000000000000000e+00 1.566649209251011365e+00 5.579749201056648289e+00
1.600000000000000089e+00 1.621713527530317611e+00 6.476127586349590182e+00
1.699999999999999956e+00 1.695557953288882258e+00 7.841623168814834344e+00
1.899999999999999911e+00 1.956353460941167688e+00 1.600485218396836373e+01
1.909999999999999920e+00 1.976140705508935502e+00 1.711059429102134999e+01
1.939999999999999947e+00 2.038803730947930770e+00 2.207592634350563188e+01
