# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 2.340220962490427770e+00 nan -1.030934464484254631e+00
1.003310567163863576e+00 -5.116192852053484013e-05 1.290745832924178274e+02 -1.954578392404872648e+04 7.747458674606022555e-03 inf 2.336807984704210917e+00 -inf -1.529540330502791035e+00
1.006643126845326419e+00 -1.025214787495366131e-04 6.441758319816599965e+01 -9.754053610980712619e+03 1.552371185556167266e-02 1.958379250004440313e+06 2.330060032059855235e+00 -inf -2.020304684357609570e+00
1.009966881853150422e+00 -1.536052215736280610e-04 4.299767493530542595e+01 -6.510195355049612772e+03 2.325707149292621789e-02 7.306872367682715412e+05 2.323360200956886334e+00 -2.352088058129015565e+08 -1.991291324006597696e+00
1.013312658457810045e+00 -2.048881398375126570e-04 3.223785225315718606e+01 -4.880711986516417710e+03 3.101943616302993423e-02 3.896466841007711482e+05 2.316779051624728858e+00 -7.310477212742294371e+07 -1.965339704761808193e+00
1.016639985572801663e+00 -2.557516880735693924e-04 2.582832844042486897e+01 -3.910042618026984655e+03 3.871717839993327193e-02 2.428515099605091091e+05 2.310245285262662041e+00 -3.341537374723491073e+07 -1.938519345592170762e+00
1.019989235987838416e+00 -3.068148124215744387e-04 2.153132139027875525e+01 -3.259295051980621338e+03 4.644396792346860980e-02 1.665463505824826134e+05 2.303836376920422868e+00 -1.820707551106090471e+07 -1.911747418682532507e+00
1.023320410973789674e+00 -3.574694121976351984e-04 1.848162869069026470e+01 -2.797442147153913538e+03 5.410778545203265288e-02 1.212205002387110726e+05 2.297473999246621990e+00 -1.109804474994727969e+07 -1.885513672356493142e+00
1.026673415770987363e+00 -4.083240224768003713e-04 1.618104723094693043e+01 -2.449035434981826711e+03 6.180069718154324043e-02 9.236502423240269127e+04 2.291233264550806670e+00 -7.264779092862739228e+06 -1.859518997823498276e+00
1.030008038400679560e+00 -4.587704640546797202e-04 1.440285063844598490e+01 -2.179739277811948341e+03 6.943069987344507865e-02 7.263636432698598946e+04 2.285038228995954768e+00 -5.031806237556682900e+06 -1.834043201994905115e+00
1.033364393242923507e+00 -5.094173028197134965e-04 1.297187859614093597e+01 -1.963027157626617281e+03 7.708983649426803808e-02 5.869732205376315687e+04 2.278961722803701129e+00 -3.624764149502435699e+06 -1.808615199440982479e+00
1.036702732102289248e+00 -5.596664030543422935e-04 1.180809708764833310e+01 -1.786778685557264680e+03 8.468765056530858093e-02 4.836967860549143370e+04 2.272930104211621671e+00 -2.703377105044723023e+06 -1.783693934839491346e+00
1.040062710232414478e+00 -6.101163200401390953e-04 1.083251767405403143e+01 -1.639031717647236064e+03 9.231464282723422787e-02 4.058924526204117137e+04 2.267013975415913762e+00 -2.067356533829066902e+06 -1.758996724721645366e+00
1.043404371677711939e+00 -6.601687605946954468e-04 1.001197821650233344e+01 -1.514764193172631622e+03 9.988036114099219098e-02 3.451500024187388044e+04 2.261141942148188200e+00 -1.618896396328388480e+06 -1.734788037227062096e+00
1.046767575467940414e+00 -7.104223904278677117e-04 9.304463891937677644e+00 -1.407613292421326605e+03 1.074752948277332143e-01 2.973476309438074168e+04 2.255382455414103759e+00 -1.289775360273516271e+06 -1.710626920757519320e+00
1.050112819415103038e+00 -7.602885541264054825e-04 8.694860074355418078e+00 -1.315290088970272791e+03 1.150104764709665162e-01 2.586260964450422034e+04 2.249666290852112116e+00 -1.045532691554428777e+06 -1.686943333040699100e+00
1.053479513271335266e+00 -8.103563114873148145e-04 8.158276100696637556e+00 -1.234025065053934441e+03 1.225749150503265827e-01 2.271721269725140155e+04 2.244059796684882979e+00 -8.583762499816141790e+05 -1.663469144894536011e+00
1.056827955238106131e+00 -8.600368170049085001e-04 7.687597985893548369e+00 -1.162740920188179189e+03 1.300796428006462113e-01 2.009849653863762433e+04 2.238495869606770494e+00 -7.141390567709773313e+05 -1.640455191564498483e+00
1.060197750850933929e+00 -9.099192745221958015e-04 7.266720357343941394e+00 -1.098998590314625517e+03 1.376136621232951773e-01 1.791945684899347907e+04 2.233038828969266643e+00 -5.998647886018804274e+05 -1.617489130814806275e+00
1.063549639805526859e+00 -9.594240536299070013e-04 6.892301054997439280e+00 -1.042291983629738070e+03 1.450894254357801838e-01 1.606639464655326810e+04 2.227623617878201845e+00 -5.092120596080492833e+05 -1.594972734654658053e+00
1.066922790440690161e+00 -1.009131173626914412e-03 6.553315319617587065e+00 -9.909514502519072039e+02 1.525945191446020921e-01 1.449498558854803741e+04 2.222312574184132306e+00 -4.355630250127923209e+05 -1.572652707115805182e+00
1.070277748454239175e+00 -1.058460749890064974e-03 6.248383781870647802e+00 -9.447681457284676299e+02 1.600413858862905769e-01 1.313587929090540092e+04 2.217042639598035159e+00 -3.757751818637121469e+05 -1.550766391056956683e+00
1.073653872477006166e+00 -1.107993010568183740e-03 5.969521472845851662e+00 -9.025327691256784419e+02 1.675176150297470468e-01 1.196561201221182455e+04 2.211874238386766223e+00 -3.261584014155148761e+05 -1.528927837876599805e+00
1.077012139089633225e+00 -1.157156904036149873e-03 5.716343237102391228e+00 -8.641870402466697669e+02 1.749370110439517623e-01 1.093940120675766411e+04 2.206746242284445714e+00 -2.851218616363083129e+05 -1.507513199659221481e+00
1.080391480169126783e+00 -1.206523854871393436e-03 5.482882822671199641e+00 -8.288273754078344382e+02 1.823858054863209954e-01 1.004457276405928314e+04 2.201717205856768889e+00 -2.505065744771668105e+05 -1.486282628367803005e+00
1.083752684601259952e+00 -1.255522509316124883e-03 5.269320612747215193e+00 -7.964811403856818970e+02 1.897777860737609457e-01 9.250850240532610769e+03 2.196727886584792344e+00 -2.214278541937363334e+05 -1.465461042450547202e+00
1.087134868379079355e+00 -1.304724549478638099e-03 5.071014630437175263e+00 -7.664453009637899186e+02 1.971991944171909150e-01 8.551398782734144334e+03 2.191835033140963063e+00 -1.965310147231038136e+05 -1.444687098785785384e+00
1.090499240496158428e+00 -1.353567084846676958e-03 4.888418818514281838e+00 -7.387886505183992085e+02 2.045651236372431070e-01 7.924942764622075629e+03 2.186981224322195327e+00 -1.753420286081699014e+05 -1.424312797931374552e+00
1.093884500799031878e+00 -1.402613362549222234e-03 4.717859860386221627e+00 -7.129548503534285828e+02 2.119605137907034642e-01 7.367904541860198151e+03 2.182221445303892171e+00 -1.569942492018339108e+05 -1.404111465232692701e+00
1.097251675140511473e+00 -1.451300122370106438e-03 4.559954551629267883e+00 -6.890373566336562590e+02 2.193004313261632809e-01 6.864849357347417026e+03 2.177500053419824777e+00 -1.412023779093902558e+05 -1.384295955560790770e+00
1.100639643031567694e+00 -1.500190937087421102e-03 4.411703012830320070e+00 -6.665818165396146924e+02 2.266698363629087165e-01 6.414062395509993621e+03 2.172870329232154951e+00 -1.273744067318652378e+05 -1.364527661361937483e+00
1.104009841003056325e+00 -1.548730673312729254e-03 4.273777331184871464e+00 -6.456900591120879653e+02 2.339850494089166233e-01 6.004031990010222216e+03 2.168278349160310370e+00 -1.153576701545040996e+05 -1.345136747392489562e+00
1.107400741700603986e+00 -1.597474804245014972e-03 4.143707415942666117e+00 -6.259879638431052626e+02 2.413297802235166989e-01 5.634117805365248387e+03 2.163775726959687784e+00 -1.047491702761592023e+05 -1.325907845021212728e+00
1.110773606059392682e+00 -1.645867807811652499e-03 4.022197380149585832e+00 -6.075822099768760154e+02 2.486203200606753594e-01 5.295533212416109563e+03 2.159310220010233650e+00 -9.545140078141154663e+04 -1.307043178663155558e+00
1.114167078981092462e+00 -1.694465502747723694e-03 3.907159613233366802e+00 -5.901566000478692331e+02 2.559404014653117176e-01 4.988261433783136454e+03 2.154931831972691114e+00 -8.717072729383567639e+04 -1.288225708693392146e+00
1.117542820515991631e+00 -1.742720139534429703e-03 3.799283607354757564e+00 -5.738155985660162060e+02 2.632075157706501578e-01 4.705455865026432548e+03 2.150589943919583913e+00 -7.985927719098965463e+04 -1.269764155594201416e+00
