# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 2.313511188259255391e+00 nan -1.011773142521193769e+00
1.002822918822183551e+00 -2.627626521096351533e-05 1.531193251801904012e+02 -3.805715888355243806e+04 6.530854278669284696e-03 inf 2.310655034811452513e+00 -inf -1.502211323872747251e+00
1.005661820504035964e+00 -5.263780536878400292e-05 7.643790756760232341e+01 -1.899775252774945329e+04 1.308251405384941446e-02 4.478603247971567325e+06 2.305005937384357662e+00 -inf -1.988295877376971221e+00
1.008487387226113308e+00 -7.881306085438577252e-05 5.105299982047900897e+01 -1.268825229168031001e+04 1.958748758185346883e-02 1.672936944898209767e+06 2.299392395636386865e+00 -6.326963158127237558e+08 -1.964728819627510559e+00
1.011328876442558089e+00 -1.050737455527107157e-04 3.829466300961935588e+01 -9.517125279390991636e+03 2.611329938453321731e-02 8.930778341640012804e+05 2.293871709259502012e+00 -1.967994591929537654e+08 -1.941304891484262551e+00
1.014156947394116326e+00 -1.311493680245463583e-04 3.068168764902341650e+01 -7.624893776177683321e+03 3.259273125518014069e-02 5.571705699733035872e+05 2.288386050749678269e+00 -9.006256110231761634e+07 -1.918266151117018925e+00
1.017000879483838105e+00 -1.573105654155045063e-04 2.558000616032727237e+01 -6.356852111990693629e+03 3.909303202400815636e-02 3.822427136861884501e+05 2.282991297816381771e+00 -4.913375634920120239e+07 -1.895328577780447388e+00
1.019831422956289702e+00 -1.832889309055052256e-04 2.195509719738417687e+01 -5.455866838546572581e+03 4.554750958329367716e-02 2.783622702919804142e+05 2.277631055052774300e+00 -2.996366425971120596e+07 -1.872781995017467782e+00
1.022677766489273221e+00 -2.093530152400921603e-04 1.922230913630946247e+01 -4.776620956966732592e+03 5.202288616361272489e-02 2.121423774150132958e+05 2.272359726044854256e+00 -1.962771780783594400e+07 -1.850341596843237291e+00
1.025510728129403804e+00 -2.352362474790980281e-04 1.710778112844331034e+01 -4.251045537056763351e+03 5.845293393059636244e-02 1.668904710095139453e+05 2.267122400449794295e+00 -1.359823948151148669e+07 -1.828272721632923536e+00
1.028359428775344808e+00 -2.612053393256635729e-04 1.540739225011190605e+01 -3.828405661927253732e+03 6.490391000415640654e-02 1.348817729959398275e+05 2.261972097873699017e+00 -9.801215163917757571e+06 -1.806319282183088459e+00
1.031194716925279087e+00 -2.869951820636532287e-04 1.402328690362286245e+01 -3.484379050580047988e+03 7.130995799149297820e-02 1.111804738318424788e+05 2.256855301888092136e+00 -7.311597064951201901e+06 -1.784742158094621001e+00
1.034045682636715480e+00 -3.128710197323353879e-04 1.286389346803173517e+01 -3.196205263291918527e+03 7.773696217907244410e-02 9.330617595257458743e+04 2.251823600885682453e+00 -5.593591175888611935e+06 -1.763237646314086415e+00
1.036883332713396166e+00 -3.385703318996599424e-04 1.188781931680545867e+01 -2.953596064927402040e+03 8.411971727954592470e-02 7.936068275641014043e+04 2.246824920375067425e+00 -4.380879964273476973e+06 -1.742099657358911369e+00
1.039736599925908722e+00 -3.643557766034183636e-04 1.104686048827321976e+01 -2.744570181711284022e+03 9.052345696422514632e-02 6.837495042201038450e+04 2.241909455826121000e+00 -3.491628939769649412e+06 -1.721072876615988623e+00
1.042576516571421141e+00 -3.899661855064948763e-04 1.032169417761932451e+01 -2.564324900891554535e+03 9.688332000460875282e-02 5.948219723830071598e+04 2.237026536055432668e+00 -2.830954613209832925e+06 -1.700396472404597237e+00
1.045431989494976399e+00 -4.156628588719433115e-04 9.683898704947658587e+00 -2.405795896015039943e+03 1.032641945634028557e-01 5.225156104743108153e+04 2.232225035493908383e+00 -2.324882278224347625e+06 -1.679802246306922209e+00
1.048274164893962190e+00 -4.411867447103748970e-04 9.123941638674532228e+00 -2.266613881739507633e+03 1.096017532336247546e-01 4.623583562567034824e+04 2.227455613604561346e+00 -1.934466969032117166e+06 -1.659555836426303888e+00
1.051131836245218665e+00 -4.667970265809751290e-04 8.623637288448206206e+00 -2.142258718579327251e+03 1.159603502039157075e-01 4.122539578054236335e+04 2.222765821552808330e+00 -1.625439344150472432e+06 -1.639403542830472960e+00
1.053976215359762492e+00 -4.922363027099535202e-04 8.178214673850822791e+00 -2.031544594526264291e+03 1.222760761217749348e-01 3.696749845622701105e+04 2.218107651869530184e+00 -1.380027374561450211e+06 -1.619585847558280500e+00
1.056836030111721003e+00 -5.177621032023723823e-04 7.775271860626893350e+00 -1.931388940625382475e+03 1.286128662669517864e-01 3.335345209496361349e+04 2.213527389894892394e+00 -1.180720162050218321e+06 -1.599855241411803242e+00
1.059682574565121715e+00 -5.431187941141485571e-04 7.412499601391542292e+00 -1.841217816133660790e+03 1.349072585194164287e-01 3.022988509055851318e+04 2.208978303185457737e+00 -1.018764289644348435e+06 -1.580452018539636017e+00
1.062544494533051331e+00 -5.685621354917463986e-04 7.081012574511635904e+00 -1.758822717125025065e+03 1.412227403181766094e-01 2.753787239380698520e+04 2.204505435777439182e+00 -8.844934905251807068e+05 -1.561136478973522923e+00
1.065393156402979491e+00 -5.938381422527153194e-04 6.779832593946192532e+00 -1.683960542188341606e+03 1.474962672224258142e-01 2.517891262786198786e+04 2.200063305562214300e+00 -7.733259348464927170e+05 -1.542136215560926837e+00
1.068257133751555621e+00 -6.192009227645797883e-04 6.502334965307150050e+00 -1.614984673367807773e+03 1.537909082407235006e-01 2.312014032971641791e+04 2.195695767952150046e+00 -6.795877681783353910e+05 -1.523227067285470415e+00
1.071107844522794839e+00 -6.443979278409449210e-04 6.248282357244773877e+00 -1.551836150917647501e+03 1.600439837422708012e-01 2.129528048268142811e+04 2.191358537937016848e+00 -6.007684920066659106e+05 -1.504632708138415209e+00
1.073973810602667500e+00 -6.696818258709653525e-04 6.012571196881511426e+00 -1.493246436394528246e+03 1.663181968670344180e-01 1.968574099858451882e+04 2.187094268980109391e+00 -5.333498795172087848e+05 -1.486107340819998512e+00
1.076826577517276951e+00 -6.948021448256380336e-04 5.795374867666234664e+00 -1.439258654348212985e+03 1.725513919003300867e-01 1.824519492908330722e+04 2.182859886853727449e+00 -4.759157538978070370e+05 -1.467890314828703469e+00
1.079694540247740919e+00 -7.200094764794787812e-04 5.592661368231259367e+00 -1.388870608883578143e+03 1.788057481328001463e-01 1.696315563670386837e+04 2.178696865340352673e+00 -4.261984209299616632e+05 -1.449757906402516339e+00
1.082549304208786367e+00 -7.450548007503000371e-04 5.404836331522580473e+00 -1.342183150813819339e+03 1.850194786043212192e-01 1.580617784974825008e+04 2.174563318586530958e+00 -3.833649721014028764e+05 -1.431915439193615525e+00
1.085419204455568831e+00 -7.701872539487276915e-04 5.228638070363595958e+00 -1.298385548284561992e+03 1.912543929303679446e-01 1.476851990238002145e+04 2.170499630276964798e+00 -3.459015819080044748e+05 -1.414160222423165081e+00
1.088275887526819030e+00 -7.951590771939672907e-04 5.064598303629505693e+00 -1.257609991108816530e+03 1.974490255788613480e-01 1.382534362111276278e+04 2.166465012247777100e+00 -3.133133207477515680e+05 -1.396695034292755322e+00
1.091147647118839714e+00 -8.202181409173227864e-04 4.910027103561195538e+00 -1.219187860050999689e+03 2.036648635350117864e-01 1.297372250883752713e+04 2.162498742854943590e+00 -2.845489303834995953e+05 -1.379296359926019289e+00
1.094006247756533989e+00 -8.451185912385706430e-04 4.765514698932435955e+00 -1.183265887612816186e+03 2.098409223717259131e-01 1.219477574703522623e+04 2.158561147241866429e+00 -2.593154912365823984e+05 -1.362180341093147451e+00
1.096879865723736858e+00 -8.701063935825092965e-04 4.628810846499942677e+00 -1.149284739631295906e+03 2.160382079030397362e-01 1.148726942543314726e+04 2.154690427360504312e+00 -2.368695582940219028e+05 -1.345148656959110456e+00
1.099740301545702126e+00 -8.949368587869732140e-04 4.500530390587255347e+00 -1.117397266836715971e+03 2.221960331812167233e-01 1.083655295876080709e+04 2.150847992488435612e+00 -2.170312961446094268e+05 -1.328390093349265610e+00
1.102615695224663295e+00 -9.198547825958246302e-04 4.378760981045388689e+00 -1.087128119482084003e+03 2.283751052703633100e-01 1.024241491438259436e+04 2.147071008274333170e+00 -1.992586949834835832e+05 -1.311700097714848523e+00
1.105477943012737052e+00 -9.446171330972718367e-04 4.264116714301780853e+00 -1.058629962301377418e+03 2.345151568309600254e-01 9.693278007756307488e+03 2.143321927615473133e+00 -1.834469197976806900e+05 -1.295277881814789867e+00
1.108355089526374293e+00 -9.694670474423717609e-04 4.154955320403789010e+00 -1.031494574919466913e+03 2.406764749284517890e-01 9.189540708229351367e+03 2.139636897780313074e+00 -1.691945572594989208e+05 -1.278934111270374929e+00
1.111219075637836617e+00 -9.941626839965276435e-04 4.051878698436217618e+00 -1.005871590331681318e+03 2.467990960306734038e-01 8.721909615084521647e+03 2.135979397263906066e+00 -1.564397415014984144e+05 -1.262854342789819340e+00
1.114097901156727577e+00 -1.018945985193413879e-03 3.953459835187576044e+00 -9.814062909430693935e+02 2.529430022532539457e-01 8.291136741285085009e+03 2.132384563173097547e+00 -1.448765513190000202e+05 -1.246834538593099673e+00
1.116963627627047817e+00 -1.043576929592683914e-03 3.860278158298422468e+00 -9.582427242717100171e+02 2.590486900148126770e-01 7.889658734014901711e+03 2.128816891435013847e+00 -1.344729337512363854e+05 -1.231069354136828053e+00
1.119844134785671574e+00 -1.068295639633313251e-03 3.771084869006692042e+00 -9.360704686047812402e+02 2.651756814646818450e-01 7.518423847180972189e+03 2.125310551050794139e+00 -1.249960066683962941e+05 -1.215385615297511102e+00
1.122711497678423820e+00 -1.092862969736596579e-03 3.686436178849885170e+00 -9.150278010069473567e+02 2.712646988810709647e-01 7.171197930744031510e+03 2.121831012855972087e+00 -1.164283634668018349e+05 -1.199951107780468096e+00
1.125593582041069407e+00 -1.117518160168108447e-03 3.605227099623774301e+00 -8.948400443439503533e+02 2.773750369579646158e-01 6.849025112396307122e+03 2.118411495447554138e+00 -1.085860062075141032e+05 -1.184572145884428052e+00
1.128462591950309069e+00 -1.142023906663677335e-03 3.527985423881726756e+00 -8.756384119150467313e+02 2.834478830980352582e-01 6.546709572437101087e+03 2.115018426773141336e+00 -1.014655224995797180e+05 -1.169441403492794018e+00
1.131346264793031020e+00 -1.166617608892943012e-03 3.453729575202117985e+00 -8.571789011044894551e+02 2.895420669817434511e-01 6.265326151194201884e+03 2.111684070056251361e+00 -9.492181915400047728e+04 -1.154379130864098935e+00
1.134216863678114917e+00 -1.191063182175815032e-03 3.382960380602487049e+00 -8.395860227777473028e+02 2.955990870404179294e-01 6.000503632127336459e+03 2.108375815577240964e+00 -8.895591303729268839e+04 -1.139548778357492909e+00
1.137102066932983435e+00 -1.215596803095863243e-03 3.314798515747747309e+00 -8.226411894578986903e+02 3.016774610128668543e-01 5.753313516572731714e+03 2.105125052759201143e+00 -8.345291720012486621e+04 -1.124792168436047346e+00
1.139974161986624823e+00 -1.239983290053921260e-03 3.249718932381233660e+00 -8.064624806004559332e+02 3.077189199458703062e-01 5.520040293090840350e+03 2.101900051528478919e+00 -7.841761823765959707e+04 -1.110264151092269280e+00
1.142860802467917214e+00 -1.264457910906067019e-03 3.186928519170327601e+00 -7.908527372678101983e+02 3.137817475304830461e-01 5.301727191862650216e+03 2.098731335139143006e+00 -7.375609169160798774e+04 -1.095797459216856895e+00
1.145734355983396791e+00 -1.288786839867837701e-03 3.126875934201811091e+00 -7.759235034573659959e+02 3.198080195833760131e-01 5.095190896503477234e+03 2.095588045582220005e+00 -6.947682973180183035e+04 -1.081560865958703488e+00
1.148622396169343807e+00 -1.313203986717749157e-03 3.068843290196529683e+00 -7.614963174909496502e+02 3.258556744146944295e-01 4.901429927284812948e+03 2.092499820866125848e+00 -6.550228786708345433e+04 -1.067381319615170465e+00
1.151497386374371379e+00 -1.337476990722791118e-03 3.013253860587794986e+00 -7.476764138271912543e+02 3.318671596441363780e-01 4.717699220847109245e+03 2.089436694598519217e+00 -6.184221140380685392e+04 -1.053424247648902634e+00
1.154386804835810354e+00 -1.361838295325041746e-03 2.959455097554159586e+00 -7.343015712165160949e+02 3.379000414050713497e-01 4.544946147915252368e+03 2.086427453003512511e+00 -5.843306397704747360e+04 -1.039530316854887948e+00
1.157263170232471605e+00 -1.386056642515120195e-03 2.907846990315871238e+00 -7.214712366916066912e+02 3.438970493737611989e-01 4.380786803788911129e+03 2.083442987477591490e+00 -5.528462121045326785e+04 -1.025853863568348734e+00
1.160153905412700137e+00 -1.410363369277038833e-03 2.857833091932064473e+00 -7.090371331131539137e+02 3.499154666600703401e-01 4.226114177039314200e+03 2.080511250595122874e+00 -5.234355482503303210e+04 -1.012231446610283969e+00
1.163031627841238036e+00 -1.434528665002157526e-03 2.809790735721306554e+00 -6.970930762115485777e+02 3.558983903273807980e-01 4.078845226688566527e+03 2.077603973287559747e+00 -4.961992126462298620e+04 -9.988165784311869855e-01
1.165923661955263757e+00 -1.458782418205335860e-03 2.763173364386973141e+00 -6.855031891803631652e+02 3.619027357778024090e-01 3.939819311681264026e+03 2.074748322106898524e+00 -4.707000445252636564e+04 -9.854721564241258891e-01
1.168802621966341437e+00 -1.482895390139824876e-03 2.718338654932541232e+00 -6.743564021098670764e+02 3.678717507053278490e-01 3.807204507524445944e+03 2.071916819262383136e+00 -4.470285999367770273e+04 -9.723334819887839986e-01
1.171695834930432500e+00 -1.507096890143645946e-03 2.674782326801636856e+00 -6.635273462110899345e+02 3.738621980487463192e-01 3.681786671313005627e+03 2.069135845059311141e+00 -4.248038414828105306e+04 -9.592403041848109879e-01
1.174576051056261727e+00 -1.531159397274262351e-03 2.632841604268829627e+00 -6.530998678388277767e+02 3.798177597841900788e-01 3.561947021931771360e+03 2.066378713385978561e+00 -4.041248303741501149e+04 -9.463492005075347935e-01
1.177470462141154250e+00 -1.555310504252234655e-03 2.592051762371875068e+00 -6.429584300150934268e+02 3.857947647947211900e-01 3.448419647112317762e+03 2.063671031215215557e+00 -3.846749970747131010e+04 -9.335239213963666405e-01
1.180351824032961128e+00 -1.579323300160649255e-03 2.552732724234909156e+00 -6.331825788287171690e+02 3.917370551590803052e-01 3.339767476640166478e+03 2.060986891147674971e+00 -3.665374658681898291e+04 -9.208932558027876913e-01
1.183247322351455022e+00 -1.603424760930508269e-03 2.514453089179411016e+00 -6.236650601676342376e+02 3.977007979601436816e-01 3.236676076896475479e+03 2.058351159607834102e+00 -3.494365707516272232e+04 -9.083114384189263646e-01
1.186129816243047586e+00 -1.627389380749381812e-03 2.477515358143765223e+00 -6.144810896698361375e+02 4.036301921249167979e-01 3.137863298267943719e+03 2.055738674732157989e+00 -3.334587894422627141e+04 -8.959243945280218613e-01
1.189026388444728077e+00 -1.651442729633452542e-03 2.441519220143892888e+00 -6.055311407752880086e+02 4.095810476319183824e-01 3.043968038539509507e+03 2.053173553317281019e+00 -3.183669355176877798e+04 -8.835915130276653651e-01
1.191909960355421072e+00 -1.675360346800470156e-03 2.406751431722998991e+00 -5.968865157336189213e+02 4.154978311508046307e-01 2.953842621477248485e+03 2.050631388450387949e+00 -3.042378331405817880e+04 -8.714446976791352384e-01
1.194807552478265533e+00 -1.699366753942405366e-03 2.372839056314797190e+00 -5.884544920512737463e+02 4.214360840608707415e-01 2.868083156680139382e+03 2.048135588573841481e+00 -2.908683495621802285e+04 -8.593531051440351787e-01
1.197692133637851430e+00 -1.723238394848418701e-03 2.340054326444184429e+00 -5.803027619332744962e+02 4.273405060298510749e-01 2.785657501522943221e+03 2.045662459885650541e+00 -2.783296032195707812e+04 -8.474444926707142001e-01
1.200590676787710587e+00 -1.747198882428472461e-03 2.308048789228334119e+00 -5.723446884364284415e+02 4.332664043615546134e-01 2.707121687238409777e+03 2.043234711727372144e+00 -2.664430323625205347e+04 -8.355855436269526981e-01
1.203476228112317248e+00 -1.771025795173352367e-03 2.277080799515766696e+00 -5.646445143404122291e+02 4.391587686359901266e-01 2.631544334398146020e+03 2.040829354159814368e+00 -2.552768501824991108e+04 -8.239077221757655778e-01
1.206375683370823682e+00 -1.794941608910617008e-03 2.246824371858026304e+00 -5.571211871381811989e+02 4.450726156103795850e-01 2.559443861356196521e+03 2.038468400130707625e+00 -2.446740670495476297e+04 -8.122783358327709813e-01
1.209262167444521863e+00 -1.818725030230540713e-03 2.217524897725918098e+00 -5.498357274344217558e+02 4.509532231297626037e-01 2.489977403586901346e+03 2.036129560987821829e+00 -2.346966883904523274e+04 -8.008216814493833713e-01
1.212162497575687947e+00 -1.842597404581210185e-03 2.188876780554215973e+00 -5.427121505293134760e+02 4.568553190768479544e-01 2.423629248334949352e+03 2.033834193848933047e+00 -2.252106005811932846e+04 -7.894213213849252675e-01
1.215049812990104394e+00 -1.866338020528021061e-03 2.161113918915154919e+00 -5.358086204111524466e+02 4.627243345422458187e-01 2.359633490659730342e+03 2.031560670193520490e+00 -2.162704813392328651e+04 -7.781896531737384493e-01
1.217950916151803176e+00 -1.890167635307448898e-03 2.133948627095345607e+00 -5.290536041991550746e+02 4.686148425987012311e-01 2.298442841170009615e+03 2.029329706404761513e+00 -2.077559300755682852e+04 -7.670047259525497596e-01
1.220839022834153242e+00 -1.913866614857513172e-03 2.107603484929255089e+00 -5.225024524890674229e+02 4.744725500553850228e-01 2.239359223104429930e+03 2.027120318883604000e+00 -1.997213503806801964e+04 -7.559902509135277837e-01
1.223740859111623225e+00 -1.937654636592379531e-03 2.081807742906282233e+00 -5.160878420308334853e+02 4.803517536177295266e-01 2.182805318513772363e+03 2.024952565973792140e+00 -1.920579127512369087e+04 -7.450188657208136611e-01
1.226629738026833394e+00 -1.961313296964006889e-03 2.056773219598752256e+00 -5.098624485684866841e+02 4.861984736436261167e-01 2.128143955780127271e+03 2.022806126819041150e+00 -1.848158374965054099e+04 -7.342109600074953057e-01
1.229532288740955881e+00 -1.985061041721518371e-03 2.032244844687103313e+00 -5.037628460698432491e+02 4.920666929549849522e-01 2.075770526789053292e+03 2.020700434865823958e+00 -1.779013778833465039e+04 -7.234542446254492720e-01
1.232421850610365022e+00 -2.008680101368684814e-03 2.008424948767939977e+00 -4.978393519797477325e+02 4.979025980599602885e-01 2.025101474833552629e+03 2.018615798385136717e+00 -1.713580165758031580e+04 -7.128547114820134034e-01
1.235325026171216756e+00 -2.032388282107671848e-03 1.985072239892397672e+00 -4.920319649564984275e+02 5.037600042476064743e-01 1.976507327129661462e+03 2.016571054696284282e+00 -1.651020458581950152e+04 -7.023017727474677452e-01
1.238215209700963992e+00 -2.055968667545070901e-03 1.962379927493656862e+00 -4.863887352884856341e+02 5.095853183115237606e-01 1.929451931008646397e+03 2.014547112025646403e+00 -1.591753025875286949e+04 -6.919058811620029115e-01
1.241118948772222508e+00 -2.079638207012705128e-03 1.940119626759408744e+00 -4.808528698058732402e+02 5.154321342907627335e-01 1.884282388811280271e+03 2.012562205573650953e+00 -1.535014340218969846e+04 -6.815525683814461777e-01
1.244009718292250710e+00 -2.103181031706021029e-03 1.918475800865564684e+00 -4.754702447981084106e+02 5.212471273022192264e-01 1.840505393187175059e+03 2.010597849812746585e+00 -1.481198622210356189e+04 -6.713528634744845291e-01
1.246913985402719804e+00 -2.126813041183256425e-03 1.897232160801302303e+00 -4.701870736337257313e+02 5.270836224796267011e-01 1.798446386083768857e+03 2.008671691137827064e+00 -1.429626896475767717e+04 -6.611978763625396827e-01
1.249805279783535061e+00 -2.150319188898315755e-03 1.876565145861805339e+00 -4.650472381787818108e+02 5.328885076040106306e-01 1.757650487305981869e+03 2.006765836862380858e+00 -1.380654916509591385e+04 -6.511919896500298899e-01
1.252710013763574493e+00 -2.173914548390313076e-03 1.856269449381603875e+00 -4.599996815608301972e+02 5.387148941836753524e-01 1.718423235557338330e+03 2.004897363897454099e+00 -1.333672683524853164e+04 -6.412291927064678321e-01
1.255601778219022746e+00 -2.197384933323240017e-03 1.836513926787877837e+00 -4.550864005823680145e+02 5.445098920371556073e-01 1.680344171070937136e+03 2.003048952850068787e+00 -1.289008971528198163e+04 -6.314110950234678166e-01
1.258506924302830843e+00 -2.220944553656413554e-03 1.817103483660982066e+00 -4.502588767259711062e+02 5.503263897690983120e-01 1.643700538634860322e+03 2.001237130266109165e+00 -1.246121793273456205e+04 -6.216382978314889396e-01
1.261399075735910591e+00 -2.244379839588991551e-03 1.798200026319674238e+00 -4.455573795312329253e+02 5.561116590831510775e-01 1.608102783292096774e+03 1.999445130689647909e+00 -1.205311510030037971e+04 -6.120080949324919750e-01
1.264304550586479170e+00 -2.267904379422831535e-03 1.779617743033950372e+00 -4.409356977627488163e+02 5.619184254114972799e-01 1.573821081729520301e+03 1.997688936049123010e+00 -1.166076040727176587e+04 -6.024171705326303305e-01
1.267197053817764818e+00 -2.291305598271679150e-03 1.761511694603245859e+00 -4.364323993946050564e+02 5.676942157487265828e-01 1.540493950032981502e+03 1.995952329138767078e+00 -1.128706246634530908e+04 -5.929668450751663933e-01
1.270102822460555947e+00 -2.314796087363835825e-03 1.743705007984749367e+00 -4.320034950200871435e+02 5.734914996635406270e-01 1.508375624889962637e+03 1.994250753069063631e+00 -1.092749804910265630e+04 -5.835579313173369087e-01
1.272995614372614215e+00 -2.338164023883930204e-03 1.726346465408857833e+00 -4.276859919942218085e+02 5.792579995019515593e-01 1.477130190882261104e+03 1.992568533136760855e+00 -1.058468704871298905e+04 -5.742852223204193418e-01
1.275901613637587584e+00 -2.361621243101378817e-03 1.709267339095260407e+00 -4.234379255018720301e+02 5.850459884931249466e-01 1.446997235020244716e+03 1.990920592988772331e+00 -1.025453894654894793e+04 -5.650528964521750463e-01
1.278794633091010269e+00 -2.384956678111583087e-03 1.692610477364339339e+00 -4.192948279428720753e+02 5.908033852875336223e-01 1.417663927582702399e+03 1.989291780813350785e+00 -9.939473544602235052e+03 -5.559527911735858696e-01
1.281700801806106682e+00 -2.408381404506905205e-03 1.676214760711355556e+00 -4.152166256260981072e+02 5.965822658521500177e-01 1.389356357639078851e+03 1.987696518139943302e+00 -9.635824313800294476e+03 -5.468946525808008330e-01
1.284593962662259337e+00 -2.431684897795944721e-03 1.660217572304453215e+00 -4.112374925330128690e+02 6.023306924838514043e-01 1.361782606696319590e+03 1.986120158482280962e+00 -9.345834807883620670e+03 -5.379680250540207487e-01
