# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.524446319469225042e+00 nan -2.150251672178397300e+00
1.002770535932696827e+00 -1.578200306693714784e-03 2.367685839447026979e+02 -6.336331299383484748e+02 4.223533305556914641e-03 inf 1.518488969947113354e+00 -inf -3.200565566159653041e+00
1.005556466254811543e+00 -3.161644811108402578e-03 1.185194635865451573e+02 -3.162910635902273384e+02 8.437432719814674797e-03 7.589698305717913900e+04 1.506662484904547128e+00 -inf -4.241680893303836797e+00
1.008339345230461426e+00 -4.739846306778123554e-03 7.927794057571848896e+01 -2.109773050172470334e+02 1.261384936008647095e-02 2.833538827522508655e+04 1.494867857950332501e+00 -1.089419541406573355e+07 -4.206185403228887232e+00
1.011137670196095906e+00 -6.323291578410022984e-03 5.959264221694627395e+01 -1.581454828707183538e+02 1.678059510030638357e-02 1.509425667507343496e+04 1.483186906354273304e+00 -3.385389649113961495e+06 -4.172368044806082921e+00
1.013930965358637026e+00 -7.900394632397753775e-03 4.783025893743622703e+01 -1.265759555730574988e+02 2.090726711950352534e-02 9.405575371522125351e+03 1.471537560808838130e+00 -1.544683241864657728e+06 -4.138295558890861869e+00
1.016739736380534165e+00 -9.482733291131717826e-03 3.996124413269809850e+01 -1.054548271367289374e+02 2.502424590884433364e-02 6.440838920154970765e+03 1.460003900742599781e+00 -8.411447190518445568e+05 -4.104166600658952113e+00
1.019543791975769054e+00 -1.105893218815234835e-02 3.436188078191086959e+01 -9.042464344535177645e+01 2.910201587470817586e-02 4.684375903567891328e+03 1.448501585271515291e+00 -5.116130499627207173e+05 -4.070639500509193986e+00
1.022363356893597475e+00 -1.264035938574812994e-02 3.014766100939719351e+01 -7.911167471452506561e+01 3.317006913698195003e-02 3.563721277633730551e+03 1.437112168946250490e+00 -3.344754950777816703e+05 -4.037054537071047555e+00
1.025178527126133332e+00 -1.421584990320088823e-02 2.688189217932177399e+01 -7.034401789616789813e+01 3.719976232808586136e-02 2.799695074517620924e+03 1.425753852167543467e+00 -2.311357570677235490e+05 -4.004057737405517514e+00
1.028009243820409369e+00 -1.579656229320690677e-02 2.426023615380790588e+01 -6.330491289424637813e+01 4.121971417178638131e-02 2.258754928486300287e+03 1.414505711712432667e+00 -1.662516121408460604e+05 -3.971001299331794243e+00
1.030835893773380141e+00 -1.737154214931949450e-02 2.212284651177830241e+01 -5.756541309944515206e+01 4.520213976386788790e-02 1.859148748940985797e+03 1.403288441860530034e+00 -1.237047691889025737e+05 -3.938520494783039005e+00
1.033678131095867814e+00 -1.895173833786642156e-02 2.033561981631582327e+01 -5.276560820819033637e+01 4.917479816364744849e-02 1.557486536517806599e+03 1.392178682995424799e+00 -9.443439014871620748e+04 -3.905977248919423772e+00
1.036516638643760979e+00 -2.052640817547766311e-02 1.882857930728309981e+01 -4.871772944643440439e+01 5.311075167594769830e-02 1.322691071516123429e+03 1.381099581639906759e+00 -7.377079521729312546e+04 -3.873998148031098321e+00
1.039370778351915270e+00 -2.210628971125738057e-02 1.753250630321727144e+01 -4.523599450932560728e+01 5.703691090739815284e-02 1.137535421547644091e+03 1.370125378068102640e+00 -5.866413129106402630e+04 -3.841953604013064183e+00
1.042221534994699939e+00 -2.368085345755869403e-02 1.641303738262254441e+01 -4.222820777098343825e+01 6.092717494561727953e-02 9.880182829827282376e+02 1.359181634543895845e+00 -4.743969846853148920e+04 -3.810460281155736872e+00
1.045087972595432513e+00 -2.526062519359735872e-02 1.543028515345869955e+01 -3.958730206936696305e+01 6.480761632430687147e-02 8.663134505491620985e+02 1.348340236483527965e+00 -3.886855725277326565e+04 -3.778902420162542075e+00
