# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.997121323341154886e-01
1.005098728589891355e+00 -4.324625409643879058e-03 1.961838001223857759e+02 -2.312339001130613951e+02 5.097260830793204356e-03 inf 9.946382865869016765e-01
1.010249717708501249e+00 -8.649467218268215227e-03 9.808959084982599563e+01 -1.156140574633241584e+02 1.019476165958310698e-02 1.488740951885646791e+04 9.845679186487127366e-01
1.015453774978281043e+00 -1.297452981404230953e-02 6.539150057752664225e+01 -7.707408394234848004e+01 1.529250730092091004e-02 5.525706483240680427e+03 9.745492419540702222e-01
1.020711724748935456e+00 -1.729981769714083670e-02 4.904243976695845220e+01 -5.780407733228722122e+01 2.039050269015640904e-02 2.935787352246188675e+03 9.647400663884919680e-01
1.025855760846168474e+00 -2.148870970400007172e-02 3.948243293943696841e+01 -4.653606539316096757e+01 2.532771983767878599e-02 1.823948717179354162e+03 9.549809529794502927e-01
1.031051907910824905e+00 -2.567782161784988235e-02 3.304126980874158903e+01 -3.894411351875940142e+01 3.026518066007966024e-02 1.249805837692056457e+03 9.454265324267423498e-01
1.036300961828956924e+00 -2.986715784483207417e-02 2.840675866309116770e+01 -3.348159222900515886e+01 3.520288998333687136e-02 9.080262085184102716e+02 9.359205963311306720e-01
1.041603734776877843e+00 -3.405672290218597631e-02 2.491227593381878336e+01 -2.936277817663465228e+01 4.014085275293877153e-02 6.907446470734802233e+02 9.266202696063393640e-01
1.046782612858099926e+00 -3.810765336817587001e-02 2.226407854845163570e+01 -2.624144788813239515e+01 4.491540028588092426e-02 5.420946980294974082e+02 9.173668238798945440e-01
1.052013247278446695e+00 -4.215880636775352908e-02 2.012469495461020585e+01 -2.371983664046240747e+01 4.969019417464104471e-02 4.376339081062893683e+02 9.083142592181057129e-01
1.057296417793017529e+00 -4.621018629817726098e-02 1.836033430118541787e+01 -2.164025034539721304e+01 5.446523922690427177e-02 3.600873958267814601e+02 8.993070251536975368e-01
1.062632919899573425e+00 -5.026179766603573740e-02 1.688033218120395773e+01 -1.989582638178791285e+01 5.924054036765269426e-02 3.017679921440062571e+02 8.904921823583548113e-01
1.067846226289312472e+00 -5.418099626837905025e-02 1.565931317191472516e+01 -1.845665581796651011e+01 6.385976121823266904e-02 2.561788678551610587e+02 8.817211895351492190e-01
1.073110938125226399e+00 -5.810042000763108311e-02 1.460296771003809546e+01 -1.721157953537439056e+01 6.847923106154640838e-02 2.204624388367508345e+02 8.731382211684470818e-01
1.078427819494184314e+00 -6.202007327172560230e-02 1.368008618306451396e+01 -1.612381197324207349e+01 7.309895468626259607e-02 1.914778610522344877e+02 8.645976705363095371e-01
1.083797649701568222e+00 -6.593996055617148966e-02 1.286687696268417014e+01 -1.516531086105430504e+01 7.771893699614496054e-02 1.679783167546061691e+02 8.562368999972390649e-01
1.089045478213623630e+00 -6.973366708691640381e-02 1.216690276792947323e+01 -1.434027553367578989e+01 8.219018587342397097e-02 1.483850196662845633e+02 8.479171825526138351e-01
1.094344374749707249e+00 -7.352760137799151108e-02 1.153912463193469939e+01 -1.360033485737129944e+01 8.666168638412008463e-02 1.321463272312205390e+02 8.397732196230300872e-01
1.099695088389484043e+00 -7.732176780882610290e-02 1.097292019049673506e+01 -1.293296866249160360e+01 9.113344329853645398e-02 1.183127945563735324e+02 8.316689890730972756e-01
1.105098382934875723e+00 -8.111617086475504668e-02 1.045965350002925653e+01 -1.232799809630190246e+01 9.560546149996296261e-02 1.066067261705695302e+02 8.237338760077848043e-01
1.110379538225370277e+00 -8.478934699028743693e-02 1.000654562423082972e+01 -1.179393444455409323e+01 9.993458657486176122e-02 9.646685270135195367e+01 8.158372266359721348e-01
1.115711412127105895e+00 -8.846275340644282892e-02 9.591041279741713055e+00 -1.130419257249988618e+01 1.042639658023586380e-01 8.776877536015970804e+01 8.081059519792733736e-01
1.121094738794584433e+00 -9.213639448170844737e-02 9.208645479993778693e+00 -1.085347441285568060e+01 1.085936039314954193e-01 8.012850406440553286e+01 8.004119128591352661e-01
1.126530266620241472e+00 -9.581027468877074960e-02 8.855552196324165237e+00 -1.043729394627446005e+01 1.129235058221539356e-01 7.348060545424127099e+01 7.928760514783902424e-01
1.131844973468743909e+00 -9.936860532124233703e-02 8.538454945252238915e+00 -1.006354066022326421e+01 1.171172075524090639e-01 6.757488788499041732e+01 7.853762551709255746e-01
1.137210065113710256e+00 -1.029271688047540684e-01 8.243264270133886740e+00 -9.715607760444017416e+00 1.213111659689345423e-01 6.238884668614253570e+01 7.780311828912800376e-01
1.142626261458943526e+00 -1.064859694979944787e-01 7.967785554553401539e+00 -9.390908536723550526e+00 1.255053858005156231e-01 5.773647511060188720e+01 7.707210420305655729e-01
1.148094296188638452e+00 -1.100450118622142981e-01 7.710107847206969289e+00 -9.087190623888385943e+00 1.296998718847046650e-01 5.360863167537458196e+01 7.635593262903658252e-01
1.153442281104221756e+00 -1.134935098280086818e-01 7.475849726810697149e+00 -8.811076523366214275e+00 1.337640584740076299e-01 4.987525278462005218e+01 7.564314575887214342e-01
1.158840322523817967e+00 -1.169422431912166965e-01 7.255393254471526276e+00 -8.551229843991123403e+00 1.378285042487112921e-01 4.654096980980799003e+01 7.494488138382493503e-01
1.164289126536282692e+00 -1.203912163005903396e-01 7.047553384655036446e+00 -8.306253817581012555e+00 1.418932139169525319e-01 4.350340661339080839e+01 7.424989664217058749e-01
1.169789412573176479e+00 -1.238404336058570310e-01 6.851276960106086555e+00 -8.074907127527248818e+00 1.459581922936181719e-01 4.076924984879550351e+01 7.356890413337532353e-01
1.175169541331971379e+00 -1.271833005820915408e-01 6.671211280480909167e+00 -7.862667468317049213e+00 1.498978158473063260e-01 3.826299902780876749e+01 7.289109018986569266e-01
1.180599387635726805e+00 -1.305264054109559479e-01 6.500357153811392230e+00 -7.661285062218248676e+00 1.538377009659637196e-01 3.599600791746123463e+01 7.222697019800847773e-01
