# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.952455724303851392e-01
1.007605633386907451e+00 -4.043902703079361484e-03 1.321095941681904549e+02 -2.472858704633317188e+02 7.569472953848355168e-03 inf 9.876975098069693537e-01
1.015327844741530372e+00 -8.087980732542049411e-03 6.605336521348911560e+01 -1.236402549744576760e+02 1.513927408191739765e-02 1.063641389347616132e+04 9.728628506055825298e-01
1.023074005764408101e+00 -1.208344445904846291e-02 4.421242197836361498e+01 -8.275785959782093926e+01 2.261807779925228967e-02 3.936071218028924704e+03 9.581410922655164697e-01
1.030939269807044756e+00 -1.607909005929260629e-02 3.322565789606206721e+01 -6.219257410167119104e+01 3.009722194601061052e-02 2.086526031829373551e+03 9.437605483876093659e-01
1.038771087794141401e+00 -1.999780451342598325e-02 2.671484989499025886e+01 -5.000548931902135052e+01 3.743236454371867694e-02 1.291268888424892339e+03 9.294894005303417917e-01
1.046722809849718772e+00 -2.391670487366713560e-02 2.233745613571418076e+01 -4.181177989535773776e+01 4.476785511852232613e-02 8.815998864632795176e+02 9.156255094083621815e-01
1.054610644702870026e+00 -2.774591795202550892e-02 1.925466467432013573e+01 -3.604133774665753975e+01 5.193546690707606661e-02 6.380110371488300416e+02 9.018664526051285435e-01
1.062618263622149506e+00 -3.157531958217919821e-02 1.691949134777772557e+01 -3.167030494805792173e+01 5.910343162481324075e-02 4.846920713732420154e+02 8.885571925493301881e-01
1.070520681454027123e+00 -3.529843350997034085e-02 1.513490241851004647e+01 -2.832986907811480037e+01 6.607244449604088299e-02 3.795432034543701434e+02 8.753475244360965357e-01
1.078541516408087597e+00 -3.902173664966748085e-02 1.369078859116904745e+01 -2.562674257626925467e+01 7.304181153195432596e-02 3.060432089954811659e+02 8.625735112438117635e-01
1.086489677996374636e+00 -4.265726408316102697e-02 1.252397120735733083e+01 -2.344266613185702397e+01 7.984687791461386741e-02 2.513495351694911335e+02 8.498940430624216669e-01
1.094555855024135660e+00 -4.629298289945164152e-02 1.154037424115556298e+01 -2.160154600907874212e+01 8.665230252531808119e-02 2.106674162567051383e+02 8.376803961881661431e-01
1.102448736958370423e+00 -4.979927799814768546e-02 1.072783319575450101e+01 -2.008061241444495693e+01 9.321546874868880117e-02 1.787278222396407159e+02 8.255557792210195256e-01
1.110456277414650250e+00 -5.330576176664687804e-02 1.002215014225914658e+01 -1.875969814253164714e+01 9.977898812186269950e-02 1.538431711080773141e+02 8.138403187472103006e-01
1.118437462523424353e+00 -5.675093141133039087e-02 9.413737093438363956e+00 -1.762085617154027517e+01 1.062277382589139618e-01 1.335607353656171483e+02 8.022092175337449671e-01
1.126534204557130270e+00 -6.019629396172734848e-02 8.874937528558007216e+00 -1.661231837022720015e+01 1.126768494743961568e-01 1.171542119721759292e+02 7.909124941958279864e-01
1.134534471911036180e+00 -6.355249395815149027e-02 8.406253088340896795e+00 -1.573502372162589324e+01 1.189590641027636897e-01 1.034206084579652583e+02 7.796965100573813867e-01
1.142649182422374787e+00 -6.690888775041069214e-02 7.984564783870139237e+00 -1.494569755411697010e+01 1.252416414755792573e-01 9.211068782160548096e+01 7.688652216606485235e-01
1.150641504500562018e+00 -7.016857502143045155e-02 7.613641134192214999e+00 -1.425139387103965305e+01 1.313432012850047625e-01 8.243644713678915537e+01 7.581103169098162287e-01
1.158746419582738385e+00 -7.342845566185854378e-02 7.275631014602431001e+00 -1.361869851389829833e+01 1.374451230405949742e-01 7.428646138208358707e+01 7.476812631574472068e-01
1.166817893599098266e+00 -7.663007201656721334e-02 6.971654019986674555e+00 -1.304970716696968225e+01 1.434379843195247028e-01 6.719752574041888238e+01 7.373250663498923663e-01
1.175002603230866027e+00 -7.983188557821487008e-02 6.692042233768017212e+00 -1.252632319476226463e+01 1.494312147275467240e-01 6.112498445229380195e+01 7.272690628349727238e-01
1.183081870060106899e+00 -8.294919658098351412e-02 6.440548819938268998e+00 -1.205557185865805714e+01 1.552662712382925081e-01 5.577169884578015768e+01 7.172827256038285526e-01
1.191273011509492497e+00 -8.606670513598145555e-02 6.207259236663200674e+00 -1.161889488414882088e+01 1.611016975243270144e-01 5.115028391356575099e+01 7.076295461964424716e-01
1.199353668526666139e+00 -8.910063359591953447e-02 5.995898447998678549e+00 -1.122326474730922818e+01 1.667806766029837906e-01 4.702817991697710909e+01 6.980423759806418937e-01
1.207544699850401582e+00 -9.213475963918954514e-02 5.798445158601924554e+00 -1.085366699729956963e+01 1.724600255150317007e-01 4.342692304858633889e+01 6.887622923667471309e-01
1.215648439098870881e+00 -9.509651012357955846e-02 5.617854435979288574e+00 -1.051563299957572362e+01 1.780039001358857398e-01 4.018321340068899872e+01 6.795449158808571921e-01
1.223861680343627301e+00 -9.805845929277387518e-02 5.448161794286211723e+00 -1.019799828808540099e+01 1.835481466517303595e-01 3.731789826467004190e+01 6.706035457357943930e-01
1.231995333921818148e+00 -1.009529836308528106e-01 5.291952080986158435e+00 -9.905601241629716114e+00 1.889661857659242772e-01 3.471591832451186121e+01 6.617219935161169353e-01
1.240237821579794231e+00 -1.038477080970886812e-01 5.144440468496243923e+00 -9.629485506459959154e+00 1.943845994766282281e-01 3.239972639102212071e+01 6.531051720187187604e-01
1.248391353681384208e+00 -1.066737818077086175e-01 5.008150487682065943e+00 -9.374374687517983418e+00 1.996745110714179816e-01 3.028149681155605677e+01 6.445454204326646064e-01
1.256652800616885113e+00 -1.095000565968589634e-01 4.878886543818714117e+00 -9.132415371086532119e+00 2.049647990414833476e-01 2.838351102379614943e+01 6.362404020952694417e-01
1.264831726491355113e+00 -1.122619308079169931e-01 4.758855910704964387e+00 -8.907739184630855789e+00 2.101345404786300053e-01 2.663697150489629095e+01 6.279898306307541977e-01
1.273117814926153502e+00 -1.150240073251974915e-01 4.644581298262820290e+00 -8.693837254102840362e+00 2.153046605888937481e-01 2.506267204787926417e+01 6.199831515691718309e-01
1.281314420986509051e+00 -1.177213088656672846e-01 4.538161856360803270e+00 -8.494638818033427796e+00 2.203535333580873834e-01 2.360607776150495241e+01 6.120284309633060582e-01
1.289617253980902545e+00 -1.204188135591910958e-01 4.436502387731842134e+00 -8.304350212755222671e+00 2.254027863853464986e-01 2.228606567872764899e+01 6.043063310791166876e-01
1.297839314567216684e+00 -1.230562654609507478e-01 4.341415304537505904e+00 -8.126363954359792530e+00 2.303396311693176601e-01 2.105883482133690876e+01 5.966338415515193283e-01
1.306166888707247065e+00 -1.256939217537216269e-01 4.250311765699182232e+00 -7.955834188699672183e+00 2.352768585283998570e-01 1.994100570955235341e+01 5.891813395153340238e-01
1.314410972834321845e+00 -1.282724149436374195e-01 4.164873289839904125e+00 -7.795908422238698066e+00 2.401033429851210377e-01 1.889728310509911324e+01 5.817762553946269621e-01
1.322759785721617343e+00 -1.308511135945399084e-01 4.082795632905034111e+00 -7.642273516285363222e+00 2.449302120195688826e-01 1.794201989055842716e+01 5.745774024676982838e-01
1.331038451242446241e+00 -1.333764072634377740e-01 4.005493673348149208e+00 -7.497577873910299395e+00 2.496571163384488923e-01 1.704667806851159284e+01 5.674239438608075226e-01
1.339421395633091594e+00 -1.359019080984911199e-01 3.931058535328860515e+00 -7.358248416021339722e+00 2.543844084266079220e-01 1.622395100140635549e+01 5.604669808960176525e-01
1.347723850723721917e+00 -1.383723991055487157e-01 3.860873697225846612e+00 -7.226874770287191829e+00 2.590087318107634484e-01 1.545018057460555028e+01 5.535535038410356323e-01
1.356129873960565835e+00 -1.408430984458806934e-01 3.793145438873327890e+00 -7.100099408734979356e+00 2.636334451486332942e-01 1.473712231741086498e+01 5.468322718570091112e-01
1.364456643671577929e+00 -1.432606969042520273e-01 3.729134147394173038e+00 -6.980281553902727865e+00 2.681587629929524930e-01 1.406437892516954946e+01 5.401526643292109409e-01
1.372886299469735283e+00 -1.456785048932699167e-01 3.667242175107208180e+00 -6.864430690942643132e+00 2.726844730320451271e-01 1.344244503483576914e+01 5.336572994265762482e-01
1.381235935401590398e+00 -1.480444765030790311e-01 3.608634176137576866e+00 -6.754726847098560860e+00 2.771131545038816313e-01 1.285398747437493228e+01 5.272017911511943655e-01
1.389687754619622462e+00 -1.504106587711700471e-01 3.551865022174055309e+00 -6.648464996894721146e+00 2.815422302810121069e-01 1.230840030554275089e+01 5.209230853970470143e-01
1.398060359459498692e+00 -1.527266650211459020e-01 3.498003168810441821e+00 -6.547645100883621616e+00 2.858773853941555254e-01 1.179082205852437859e+01 5.146825547073553553e-01
1.406534462515500072e+00 -1.550428830656739310e-01 3.445745770490089566e+00 -6.449828461822490588e+00 2.902129369392709712e-01 1.130939224348322902e+01 5.086080753421386991e-01
