# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.945587570362913743e-01
1.006710180413235234e+00 -6.455436376564695385e-03 1.498426197433432492e+02 -1.549081954599259632e+02 6.673668691276501974e-03 inf 9.878924614073268939e-01
1.013511022223154923e+00 -1.291098465553048268e-02 7.492075070201806852e+01 -7.745342641791810934e+01 1.334743700016161050e-02 7.558492249133228142e+03 9.747373037054968270e-01
1.020358161669598918e+00 -1.932365845929214995e-02 5.005790412486595642e+01 -5.175003491738547723e+01 1.997686514212759779e-02 2.799509480103026362e+03 9.616704944580534153e-01
1.027298447039724394e+00 -2.573644851430584649e-02 3.758494671412822896e+01 -3.885539993772414391e+01 2.660639664081521083e-02 1.483914822139163334e+03 9.488766835740899408e-01
1.034179113402690753e+00 -3.200930084310660978e-02 3.021947438449672418e+01 -3.124091978458054442e+01 3.309124398646134946e-02 9.191231439468741655e+02 9.361687172621763198e-01
1.041152572287494582e+00 -3.828227027081517603e-02 2.526771440126291779e+01 -2.612175278335984174e+01 3.957619530280975795e-02 6.282864624624789940e+02 9.238058818389657256e-01
1.048082883860547820e+00 -4.443384148572358805e-02 2.176959418247535183e+01 -2.250536902872320510e+01 4.593562891516855817e-02 4.553160756183193030e+02 9.115253906275333495e-01
1.055106075311213365e+00 -5.058553120257373859e-02 1.912222574184710666e+01 -1.976849854547185359e+01 5.229516759712748986e-02 3.460264276373151802e+02 8.995842891583548662e-01
1.062059774442057014e+00 -5.659631297993105575e-02 1.709138178011860631e+01 -1.766899551132594226e+01 5.850902009357961120e-02 2.711421105978352557e+02 8.877220866556525536e-01
1.069105738653248094e+00 -6.260721376086059164e-02 1.545046336940609422e+01 -1.597260027925341319e+01 6.472297795159520639e-02 2.186224360840404302e+02 8.761895448568008948e-01
1.076103794541673375e+00 -6.849944876477509492e-02 1.412145280578084972e+01 -1.459865762473458517e+01 7.081424367262223463e-02 1.795996585108937609e+02 8.647325708332416205e-01
1.083194068548868128e+00 -7.439180399820982670e-02 1.300295161992047177e+01 -1.344234104101123961e+01 7.690561568098153167e-02 1.503861052400307017e+02 8.535881219732099900e-01
1.090219160211136407e+00 -8.015452023186053765e-02 1.206811939605391792e+01 -1.247590275766520129e+01 8.286295214538430542e-02 1.275110986900169792e+02 8.425161172429307399e-01
1.097335969649930965e+00 -8.591735732362008882e-02 1.125867540633917585e+01 -1.163909169404915644e+01 8.882039528708252085e-02 1.096266046057438786e+02 8.317479523370064909e-01
1.104399866923890805e+00 -9.156402314629463746e-02 1.056437802956604344e+01 -1.092132002983605688e+01 9.465772591640941869e-02 9.509379845780699725e+01 8.210492074040343091e-01
1.111555298496419431e+00 -9.721081086438397578e-02 9.950727582625249923e+00 -1.028692170251590099e+01 1.004951639663091978e-01 8.335763288312641350e+01 8.106378853708968713e-01
1.118651048111739765e+00 -1.027392830497896870e-01 9.415285065588026470e+00 -9.733375300228425786e+00 1.062102732985648057e-01 7.355568029850785194e+01 8.002931566249963380e-01
