# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.091454744799499110e+00 -4.209317275421100429e-02 1.190068564799899242e+01 -2.375682170215976186e+01 8.402877191938451507e-02 2.399422944646094038e+02 8.421052828851187666e-01
1.099409864838031714e+00 -4.542453442493255694e-02 1.102790866808529557e+01 -2.201453493491661106e+01 9.067902447306208646e-02 2.025669736263784557e+02 8.298990751687886913e-01
1.107481798825330488e+00 -4.875606251115880557e-02 1.027436571336706805e+01 -2.051026987200063445e+01 9.732960923310218782e-02 1.735147688360102052e+02 8.180587134624491830e-01
1.115437395779729668e+00 -5.199255863550008433e-02 9.634794481841442604e+00 -1.923352160855588977e+01 1.037904858152071119e-01 1.499978120664788150e+02 8.063040144422031208e-01
1.123508117817629604e+00 -5.522922116015416966e-02 9.070155373756520589e+00 -1.810635708767631158e+01 1.102516945733242881e-01 1.311364910179995888e+02 7.949138301764544501e-01
1.131537133505203796e+00 -5.840351027170089665e-02 8.577183371684386159e+00 -1.712225849692710256e+01 1.165883899954001102e-01 1.154214992768005459e+02 7.836052613507401565e-01
1.139681731981891710e+00 -6.157796885634404110e-02 8.135013650364275151e+00 -1.623957429211268177e+01 1.229254237274969297e-01 1.024924850876004854e+02 7.726495289676318379e-01
1.147701531989932411e+00 -6.465992801375744503e-02 7.747265310267305694e+00 -1.546552912628102305e+01 1.290778048706707759e-01 9.147967996176760153e+01 7.617715068924685307e-01
1.155835000559849668e+00 -6.774205621823085888e-02 7.394780219104506891e+00 -1.476187845226461093e+01 1.352305234733667261e-01 8.222849623550611398e+01 7.512124667238467834e-01
1.163955491924318242e+00 -7.077646517165918361e-02 7.077742808548479481e+00 -1.412899044300431051e+01 1.412879822070113311e-01 7.421001031787666591e+01 7.407277043885254209e-01
1.172190894060535671e+00 -7.381104743975845650e-02 6.786756655263791238e+00 -1.354810742682061075e+01 1.473457869193530723e-01 6.736927206586528882e+01 7.305586048750787320e-01
1.180282853899350615e+00 -7.675169657205520302e-02 6.526730220661594473e+00 -1.302902795199049102e+01 1.532160769927813915e-01 6.135568760452819248e+01 7.204603695753514225e-01
1.188487312447868094e+00 -7.969251776094439521e-02 6.285880175954533300e+00 -1.254822947117475351e+01 1.590867105334451415e-01 5.616273592950513915e+01 7.106670344931229621e-01
1.196675170509925668e+00 -8.258735886493588640e-02 6.065548341928320042e+00 -1.210839060291792357e+01 1.648655560268911247e-01 5.154317434376303453e+01 7.009412963947515562e-01
1.204976628590002985e+00 -8.548237612282735820e-02 5.860127436925475664e+00 -1.169831777445126875e+01 1.706447531667760753e-01 4.751318696648739603e+01 6.915211125474027831e-01
1.213107897322778905e+00 -8.827980234170763885e-02 5.674430667785085980e+00 -1.132761938148961711e+01 1.762291335547029325e-01 4.389206404844514964e+01 6.821652257458254986e-01
1.221349652394761787e+00 -9.107740223866615803e-02 5.500130718544308017e+00 -1.097967196494607833e+01 1.818138606466911389e-01 4.070664889676124432e+01 6.731060675353646161e-01
1.229567520474638576e+00 -9.382972640711821632e-02 5.338794399861591877e+00 -1.065760328087386277e+01 1.873082057675652390e-01 3.781939067549565436e+01 6.641080334080411429e-01
1.237896725767257733e+00 -9.658222796576114433e-02 5.186643842247581127e+00 -1.035387173253556270e+01 1.928029050027579849e-01 3.525144151985939089e+01 6.553720081786447160e-01
1.246094110415514988e+00 -9.925541405196877665e-02 5.046955098618464142e+00 -1.007501716205036146e+01 1.981392702054624033e-01 3.290703154076514636e+01 6.466943849868649341e-01
1.254400785380232142e+00 -1.019287766073897761e-01 4.914584818495733032e+00 -9.810772122300745579e+00 2.034759876839570270e-01 3.081653666628208299e+01 6.383032894733204898e-01
1.262613970171303279e+00 -1.045376413746836181e-01 4.791935340825417278e+00 -9.565932298164273817e+00 2.086839510292199940e-01 2.889523832343529008e+01 6.299675446796959566e-01
1.270935415395041845e+00 -1.071466832655857959e-01 4.675250814597131210e+00 -9.333000047432992829e+00 2.138922679565739005e-01 2.716660999024213652e+01 6.218840808110663865e-01
1.279167631538937089e+00 -1.096945229178125925e-01 4.566660257622987551e+00 -9.116225435879227845e+00 2.189784095128886054e-01 2.556890151167245406e+01 6.138533651866360241e-01
1.287507187844288969e+00 -1.122425404903387713e-01 4.462992517540928183e+00 -8.909278029804346133e+00 2.240649062416514292e-01 2.412152599409681741e+01 6.060525486734947842e-01
1.295777505874299740e+00 -1.147371897810416930e-01 4.365956839144547352e+00 -8.715569920340096033e+00 2.290448661869816105e-01 2.277720823268695582e+01 5.983021641510768429e-01
1.304154759784494688e+00 -1.172320186234132866e-01 4.273044381417433257e+00 -8.530092817153644091e+00 2.340251845613372517e-01 2.155414951182301309e+01 5.907763166567115976e-01
1.312432944154398484e+00 -1.196662348816024818e-01 4.186123337704487746e+00 -8.356576113465907341e+00 2.388845046664015426e-01 2.041317064852560037e+01 5.832986452585913195e-01
1.320816892202357984e+00 -1.221006310057204114e-01 4.102661997081719747e+00 -8.189965864739470192e+00 2.437441838277961681e-01 1.937037735726215715e+01 5.760337371213571922e-01
1.329137277899538727e+00 -1.244863868244750066e-01 4.024035330281801492e+00 -8.033006865320892587e+00 2.485067644597370728e-01 1.839372996208364341e+01 5.688148954314593553e-01
1.337563155409926985e+00 -1.268723243301307368e-01 3.948360065454370016e+00 -7.881939621425469333e+00 2.532697077830772248e-01 1.749636518360938808e+01 5.617900213465520931e-01
1.345913478820187192e+00 -1.292075747774739380e-01 3.876998850376474071e+00 -7.739484327619623016e+00 2.579314667330622202e-01 1.665301005281884272e+01 5.548093341949423829e-01
1.354368718312172204e+00 -1.315430082007556511e-01 3.808166057637650592e+00 -7.602076413471100302e+00 2.625935909476431185e-01 1.587718055159715824e+01 5.480305390300307389e-01
1.362721468128784696e+00 -1.338218572199166290e-01 3.743316894816112850e+00 -7.472620846657705762e+00 2.671427581738639034e-01 1.514565595850449675e+01 5.412939442427764369e-01
1.371177884515679013e+00 -1.361008892935282322e-01 3.680634430137237345e+00 -7.347490565203464996e+00 2.716922908213716958e-01 1.447026307560956582e+01 5.347480425353116074e-01
1.379566175701734565e+00 -1.383341402314004487e-01 3.621214678801249587e+00 -7.228873496645408459e+00 2.761504325755785860e-01 1.383155049010754922e+01 5.282424915629130302e-01
1.388057730706895532e+00 -1.405675757664136272e-01 3.563678298747665618e+00 -7.114016120344404115e+00 2.806089428306186573e-01 1.323921220430595724e+01 5.219104511658277934e-01
1.396471507751466667e+00 -1.427539476954191311e-01 3.509098189118129429e+00 -7.005060218254750559e+00 2.849735020527623952e-01 1.267757104048407868e+01 5.156171177365987957e-01
1.404987907858990859e+00 -1.449405053240635233e-01 3.456160293565978314e+00 -6.899382596770735177e+00 2.893384319765520685e-01 1.215576479783144670e+01 5.094957334508957159e-01
1.413421646386402220e+00 -1.470800567046420815e-01 3.405884052107559068e+00 -6.799018319717838210e+00 2.936095253686632489e-01 1.165978418625895685e+01 5.034114259071154063e-01
1.421957246978473144e+00 -1.492197946449820012e-01 3.357045362447356851e+00 -6.701523764854130150e+00 2.978809911793920406e-01 1.119775184139930779e+01 4.974911113381645378e-01
1.430418293576088962e+00 -1.513158254170722528e-01 3.310543482828336437e+00 -6.608694082351909138e+00 3.020652062680831973e-01 1.075759599228776686e+01 4.916063353765351973e-01
1.438980634127673852e+00 -1.534120439392387403e-01 3.265308295928739835e+00 -6.518393043482725524e+00 3.062497961515066036e-01 1.034652835114969349e+01 4.858778067144271517e-01
1.447464061379591937e+00 -1.554646711245977753e-01 3.222195861178614784e+00 -6.432329562505850973e+00 3.103473665422126215e-01 9.954112281866068557e+00 4.801833667953925855e-01
1.456048108943935881e+00 -1.575174870337965882e-01 3.180203223015041214e+00 -6.348501482793731832e+00 3.144453136714748798e-01 9.586906280759688315e+00 4.746399456174805187e-01
1.464555019695634730e+00 -1.595283029647109052e-01 3.140117526016511285e+00 -6.268480146881578285e+00 3.184594180678897990e-01 9.235685702894219418e+00 4.691292213571883751e-01
1.473161917281048394e+00 -1.615393086455456373e-01 3.101026148535562577e+00 -6.190443727812589891e+00 3.224739012511206315e-01 8.906232781429327616e+00 4.637612903040713164e-01
1.481697513767201269e+00 -1.635107697119082826e-01 3.063636854624438577e+00 -6.115805104225934485e+00 3.264094432375493904e-01 8.590563072534388667e+00 4.584247573977946466e-01
1.490332598302064548e+00 -1.654824217914585005e-01 3.027134936071556925e+00 -6.042937909503181437e+00 3.303453665325348787e-01 8.293868893388738783e+00 4.532248313860953726e-01
1.498893010038660378e+00 -1.674147899970849229e-01 2.992194539160927480e+00 -5.973187912593697746e+00 3.342028691357816772e-01 8.009119623927636766e+00 4.480550728184629072e-01
1.507552331242938637e+00 -1.693473503088204213e-01 2.958048174866675151e+00 -5.905023008487633618e+00 3.380607552292727025e-01 7.741134431781204306e+00 4.430188151434128474e-01
1.516133391008912090e+00 -1.712408580068762731e-01 2.925339351984473257e+00 -5.839727805847856779e+00 3.418406822858436334e-01 7.483538980380162187e+00 4.380115263767513922e-01
1.524812697603374234e+00 -1.731345587187561319e-01 2.893342752595831069e+00 -5.775854384013671350e+00 3.456209946446290315e-01 7.240682516842622540e+00 4.331320087318443202e-01
1.533419827887392950e+00 -1.749915328949354365e-01 2.862639194614305715e+00 -5.714562204563336856e+00 3.493279914148362808e-01 7.006903565087964303e+00 4.282803241276973982e-01
1.542124679342372850e+00 -1.768487012410583648e-01 2.832577323866814822e+00 -5.654550997447944205e+00 3.530353757951001370e-01 6.786092003955979557e+00 4.235500681892918062e-01
1.550757002042583821e+00 -1.786699987148902824e-01 2.803703053640944631e+00 -5.596910545657603819e+00 3.566711527104770019e-01 6.573248046348311391e+00 4.188465783311599577e-01
1.559486510744248156e+00 -1.804914914785097635e-01 2.775408508123711648e+00 -5.540427373104538589e+00 3.603073194713380945e-01 6.371915687846932741e+00 4.142598537560839289e-01
1.568144627422431769e+00 -1.822782500424769969e-01 2.748202931942346439e+00 -5.486118062725345190e+00 3.638741478574983867e-01 6.177603067362849032e+00 4.096988777323137820e-01
1.576899418864502467e+00 -1.840652050469809009e-01 2.721522632010173304e+00 -5.432857338489148091e+00 3.674413683862621793e-01 5.993560704355510360e+00 4.052506030710496532e-01
1.585580919799417066e+00 -1.858179094160558598e-01 2.695852208112175852e+00 -5.381612585904992585e+00 3.709402158585948239e-01 5.815723920871714192e+00 4.008271018467329250e-01
1.594358540613615816e+00 -1.875708112697662688e-01 2.670658713487141789e+00 -5.331319906495417982e+00 3.744394575577485451e-01 5.647093990690255083e+00 3.965127682668361797e-01
1.603062544064018269e+00 -1.892902524111056139e-01 2.646399459244812569e+00 -5.282892210572858183e+00 3.778719030895525410e-01 5.483966487881104968e+00 3.922222694595961512e-01
1.611862103859499795e+00 -1.910098920437512393e-01 2.622574236188034202e+00 -5.235330952236482815e+00 3.813047448576787346e-01 5.329083138172213907e+00 3.880365960958466198e-01
1.620590053607005032e+00 -1.926972871264588105e-01 2.599609103538886412e+00 -5.189486655013174854e+00 3.846732182306505932e-01 5.179094807275097523e+00 3.838738641390638806e-01
1.629413038578602313e+00 -1.943848817763281223e-01 2.577040032002910319e+00 -5.144432997369954741e+00 3.880420899875530738e-01 5.036512616019701127e+00 3.798118868657588409e-01
1.638163775146611600e+00 -1.960408997355861660e-01 2.555270980403659298e+00 -5.100976384768529215e+00 3.913479265678619923e-01 4.898298572228197756e+00 3.757719996206301261e-01
1.647009010599907342e+00 -1.976971182875467969e-01 2.533864056901421247e+00 -5.058242672741029011e+00 3.946541635792675251e-01 4.766732610743285470e+00 3.718282395883937830e-01
1.655787390397094105e+00 -1.993235229421765620e-01 2.513188683920146271e+00 -5.016969323234861555e+00 3.979008844016320712e-01 4.639077498292285107e+00 3.679057660492541237e-01
1.664659847243525226e+00 -2.009501294423720885e-01 2.492845482635417831e+00 -4.976359073641588360e+00 4.011480081560480082e-01 4.517438788858480159e+00 3.640760923251364911e-01
1.673459854308142702e+00 -2.025466166148696401e-01 2.473196693708487270e+00 -4.937135049268388975e+00 4.043350060041236427e-01 4.399310677431215844e+00 3.602669348520426418e-01
1.682353396009518942e+00 -2.041433066109916428e-01 2.453852790819846419e+00 -4.898519655633702286e+00 4.075224087366277059e-01 4.286671968042921499e+00 3.565484003280255942e-01
1.691175122326160407e+00 -2.057107143033711505e-01 2.435155720848580341e+00 -4.861195506449185189e+00 4.106513564773300873e-01 4.177190649263933686e+00 3.528496328733682907e-01
1.700089852983998728e+00 -2.072783258043017773e-01 2.416739043774177809e+00 -4.824431093408833249e+00 4.137807110685471912e-01 4.072670782280009227e+00 3.492373428927391110e-01
1.708937033418238771e+00 -2.088180919129603574e-01 2.398918687717259246e+00 -4.788857090107022429e+00 4.168544791118246051e-01 3.970998968583203226e+00 3.456441127829504856e-01
1.717876776088408830e+00 -2.103580629916339817e-01 2.381356892272146641e+00 -4.753799240106951984e+00 4.199286563241095838e-01 3.873832111884002227e+00 3.421338035472090700e-01
1.726747682380268101e+00 -2.118706180799487804e-01 2.364356265238048760e+00 -4.719861626224419737e+00 4.229481041848478506e-01 3.779240972684902555e+00 3.386418823281040491e-01
1.735710680782315274e+00 -2.133833792225116877e-01 2.347594387304811292e+00 -4.686400616784783146e+00 4.259679633789140718e-01 3.688786205812349728e+00 3.352308910552726506e-01
1.744601824241996280e+00 -2.148688600530234416e-01 2.331364458364632242e+00 -4.654001514008260010e+00 4.289333640701822326e-01 3.600664771215486226e+00 3.318376347420977646e-01
1.753584526119113862e+00 -2.163545478617777407e-01 2.315355182594766248e+00 -4.622042891554418276e+00 4.318991779392233887e-01 3.516324755287144832e+00 3.285224193582166330e-01
