# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.985500925738609590e-01
1.004568492046599371e+00 -4.210153295288399967e-03 2.192084395671865025e+02 -2.375210425518482111e+02 4.561868156054749157e-03 inf 9.940011102756354244e-01
1.009178917906651707e+00 -8.420430728924482855e-03 1.096027989155685844e+02 -1.187587704468565875e+02 9.123854590340707560e-03 1.709418774203796784e+04 9.849652535227840788e-01
1.013831857602693232e+00 -1.263083450786415922e-02 7.306757440951055571e+01 -7.917133261285182755e+01 1.368596135948696446e-02 6.351617169469081091e+03 9.759708623936017569e-01
1.018527901903861554e+00 -1.684136688853844419e-02 5.479995380691779161e+01 -5.937760317308683966e+01 1.824819056460158517e-02 3.375171795038914297e+03 9.671401117212174992e-01
1.023138005395879846e+00 -2.093737241893734932e-02 4.407944669041139463e+01 -4.776148506082473233e+01 2.268631017588362830e-02 2.097912533859361702e+03 9.583496985990794803e-01
1.027790031525493752e+00 -2.503350399709764612e-02 3.686697147831178967e+01 -3.994646534963458606e+01 2.712454969587840825e-02 1.437143876936670495e+03 9.497195890125379458e-01
1.032484554748933414e+00 -2.912976384221645926e-02 3.168275556402960547e+01 -3.432914888759739824e+01 3.156291118615106583e-02 1.044270436776158476e+03 9.411287195913150549e-01
1.037222160066110233e+00 -3.322615422273803715e-02 2.777670007859609669e+01 -3.009677235879614443e+01 3.600139675232949532e-02 7.943124208316946806e+02 9.327019337187882897e-01
1.041863536311347760e+00 -3.720333963341983935e-02 2.480730588658373748e+01 -2.687930733782022941e+01 4.031070542572778859e-02 6.234691518160328769e+02 9.243132458912847182e-01
1.046546637860382045e+00 -4.118065243966501088e-02 2.241140682372390813e+01 -2.428324809727406475e+01 4.462013508859408173e-02 5.032562628961244400e+02 9.160852666459712301e-01
1.051272029910439221e+00 -4.515809485782073390e-02 2.043748989829466822e+01 -2.214442400965935320e+01 4.892968779318840333e-02 4.141119656330564567e+02 9.078942765593720488e-01
1.056040287913012854e+00 -4.913566915282602254e-02 1.878309382675910300e+01 -2.035181401294675041e+01 5.323936563503517405e-02 3.470147764454445678e+02 8.998581261441658263e-01
1.060712608965501236e+00 -5.299865437976664789e-02 1.741405783702772325e+01 -1.886840357935146173e+01 5.742486957139236736e-02 2.946148433170351950e+02 8.918578990145039631e-01
