# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 9.923085755127948326e-01
1.010008694697165144e+00 -4.292173659320983915e-03 1.006875593197432863e+02 -2.329821855712610272e+02 9.931713577686407390e-03 inf 9.823992850574352342e-01
1.020219762827317966e+00 -8.584543259647423388e-03 5.034263057034482358e+01 -1.164884338926461567e+02 1.986388054558807514e-02 7.528827095929443203e+03 9.628755219042786084e-01
1.030639404992031771e+00 -1.287711684640586822e-02 3.356096672045937623e+01 -7.765713489499863442e+01 2.979651952011208582e-02 2.766510643561132838e+03 9.435486094693871229e-01
1.041274077716989988e+00 -1.716990288223981323e-02 2.517011848604632362e+01 -5.824144765748086883e+01 3.972965008306872381e-02 1.445488055602804252e+03 9.244185573096471709e-01
1.052130506793442111e+00 -2.146291027324030709e-02 2.013559598583288945e+01 -4.659200393931607920e+01 4.966329284236659092e-02 8.848828572902777978e+02 9.054853753807864392e-01
1.063215701463045004e+00 -2.575614839713043225e-02 1.677923590441184487e+01 -3.882568094348349774e+01 5.959746949722932730e-02 5.941911031836394841e+02 8.867490740585242115e-01
1.074536969508958828e+00 -3.004962713355288292e-02 1.438182537261377192e+01 -3.327828313994011467e+01 6.953220290827788475e-02 4.241837748691597767e+02 8.682096641603991305e-01
1.086101933321473867e+00 -3.434335689665619917e-02 1.258375793752124494e+01 -2.911771272124431675e+01 7.946751717293287776e-02 3.163426441718904698e+02 8.498671569702033191e-01
1.097918547012382451e+00 -3.863734867017704078e-02 1.118525221906850931e+01 -2.588169308759709608e+01 8.940343770659098244e-02 2.437873131374834088e+02 8.317215642630160222e-01
1.109995114658853144e+00 -4.293161404523429536e-02 1.006643937261169164e+01 -2.329285824069796007e+01 9.933999133007787030e-02 1.927375442660195688e+02 8.137728983321158571e-01
1.122340309764735533e+00 -4.722616526108452950e-02 9.151039208208295861e+00 -2.117470250806121612e+01 1.092772063639526614e-01 1.555306864456563858e+02 7.960211720183000272e-01
1.134963196035146060e+00 -5.152101524910616265e-02 8.388198250186961857e+00 -1.940955540501211374e+01 1.192151127302828462e-01 1.276292435963651570e+02 7.784663987401372331e-01
1.147873249568901688e+00 -5.581617768029735471e-02 7.742710230693035989e+00 -1.791595271406396606e+01 1.291537420625505916e-01 1.062078308842619663e+02 7.611085925272250696e-01
1.161080382582998061e+00 -6.011166701663346601e-02 7.189427800213252340e+00 -1.663570567296512692e+01 1.390931278244894598e-01 8.943325115325369268e+01 7.439477680554320571e-01
1.174594968793954974e+00 -6.440749856662171535e-02 6.709909553819616512e+00 -1.552614248736304781e+01 1.490333054386329126e-01 7.607449708679469325e+01 7.269839406840636897e-01
1.188427870592620783e+00 -6.870368854546843318e-02 6.290324422496923695e+00 -1.455525927604593051e+01 1.589743124255351692e-01 6.644066892446163308e+01 7.123049425759607756e-01
1.199052457624908419e+00 -7.193638802001765808e-02 6.007647893796950633e+00 -1.390117056922195182e+01 1.664544956159174083e-01 5.839120005750194764e+01 6.977741997924820083e-01
1.209868726665868088e+00 -7.516930781783839888e-02 5.749267919638615609e+00 -1.330330195966884155e+01 1.739351886149110848e-01 5.251931890896588584e+01 6.854002867570627711e-01
1.220881912240914691e+00 -7.840245599756279216e-02 5.512180511217383838e+00 -1.275470248063512102e+01 1.814164100694783954e-01 4.740626484983531697e+01 6.731379286276080176e-01
1.232097441221573275e+00 -8.163584098966540636e-02 5.293857265939707624e+00 -1.224952163016969209e+01 1.888981794869928343e-01 4.293040037023438771e+01 6.609871334352935834e-01
1.243520941742247476e+00 -8.486947161724384125e-02 5.092154832025844513e+00 -1.178279988014935675e+01 1.963805172833213986e-01 3.899326562575713950e+01 6.489479095091542638e-01
1.255158252617669001e+00 -8.810335711816601190e-02 4.905244296317603059e+00 -1.135030528585624410e+01 2.038634448340740368e-01 3.551449918257186766e+01 6.370202654903766026e-01
1.267015433294129689e+00 -9.133750716869259989e-02 4.731555561236509000e+00 -1.094840477913509424e+01 2.113469845292628158e-01 3.242800824320589470e+01 6.252042103467745360e-01
1.279098774370136526e+00 -9.457193190867893562e-02 4.569733125618276937e+00 -1.057396184912057713e+01 2.188311598316152740e-01 2.967904952280790809e+01 6.134997533880950371e-01
1.291414808724872465e+00 -9.780664196848604108e-02 4.418600631841201221e+00 -1.022425450740049691e+01 2.263159953388470536e-01 2.722198183249810199e+01 6.019069042830724747e-01
1.303970323295805533e+00 -1.010416484977328666e-01 4.277132216557681943e+00 -9.896908996119927693e+00 2.338015168501896834e-01 2.501851965047464788e+01 5.904256730768199235e-01
1.316772371550094967e+00 -1.042769631960340504e-01 4.144429188975873757e+00 -9.589845823569522310e+00 2.412877514375167953e-01 2.303636422053726562e+01 5.790560702087667044e-01
