# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.226064343161136883e+00 nan -1.309946706742433520e+00
1.002225883516928873e+00 -1.514986733116040164e-03 3.664243315258065650e+02 -6.600717868619151432e+02 2.729076412136599572e-03 inf 1.223148554378543640e+00 -inf -1.956482526496123198e+00
1.004461698254459856e+00 -3.031806351312112385e-03 1.832401329118188187e+02 -3.298363695185273059e+02 5.457319770015844895e-03 9.824873753727637813e+04 1.217335108487787920e+00 -inf -2.592033613062288744e+00
1.006707510826362562e+00 -4.550469129393052391e-03 1.221789091612228617e+02 -2.197575615974745347e+02 8.184718679067892744e-03 3.667921542507773847e+04 1.211532025751273611e+00 -1.749955299238402769e+07 -2.576500865912442428e+00
1.008963388443491871e+00 -6.070985411030229047e-03 9.164843042805276241e+01 -1.647179052980631013e+02 1.091126160403843581e-02 1.947117151901536636e+04 1.205736499817677387e+00 -5.429989895334579982e+06 -2.559788304658683344e+00
1.011231591842165711e+00 -7.594836485503624925e-03 7.331610347837525410e+01 -1.316684041728501313e+02 1.363956828795398479e-02 1.211350122359163288e+04 1.199951336077692332e+00 -2.464323488434980623e+06 -2.543148121815584251e+00
1.013510016302257455e+00 -9.120565590995083349e-03 6.109857519195978171e+01 -1.096423231676903924e+02 1.636699377781225540e-02 8.266809693486495235e+03 1.194173751718063281e+00 -1.338666745622259332e+06 -2.527798383198961663e+00
1.015798731067565130e+00 -1.064818331123589673e-02 5.237377298788037905e+01 -9.391273335281580614e+01 1.909352607136793889e-02 5.999623819922426264e+03 1.188406528927883121e+00 -8.100724763884069398e+05 -2.511348177718912389e+00
1.018097806008768869e+00 -1.217770030094475139e-02 4.583129322928745353e+01 -8.211731076370959670e+01 2.181915301837855647e-02 4.550367524783551744e+03 1.182652214398858259e+00 -5.280492912771913689e+05 -2.496083408300866058e+00
1.020405262600411866e+00 -1.370777080456738947e-02 4.074738729107408375e+01 -7.295132186385862383e+01 2.454145078938729796e-02 3.567148108756673537e+03 1.176908241998929627e+00 -3.633461494287062669e+05 -2.480885172431625652e+00
1.022723202370843687e+00 -1.523975869323257633e-02 3.667999112416881502e+01 -6.561783687848441105e+01 2.726282011941627559e-02 2.869747567042120409e+03 1.171177137147567660e+00 -2.604512586188045680e+05 -2.464661249964661405e+00
1.025051696923088285e+00 -1.677367480848642248e-02 3.335195657965628158e+01 -5.961722827093696964e+01 2.998324843736366319e-02 2.356978441325987660e+03 1.165456355373323261e+00 -1.928227428301314940e+05 -2.446291895869871613e+00
1.027390818513748583e+00 -1.830953006447669923e-02 3.057849340134693961e+01 -5.461636625727241068e+01 3.270272301760790423e-02 1.969725019888999441e+03 1.159758785604148024e+00 -1.469316213241267833e+05 -2.433536604419709093e+00
1.029730020807712698e+00 -1.984039723215853118e-02 2.824142696123630714e+01 -5.040221666424796609e+01 3.540897566445855293e-02 1.669584727878735521e+03 1.154071482952758743e+00 -1.145018128398890112e+05 -2.420849261193629864e+00
1.032079899378433030e+00 -2.137320789315993314e-02 2.623690096414269846e+01 -4.678754845780684235e+01 3.811425752479968843e-02 1.432816760329795898e+03 1.148407227657199492e+00 -9.069860117143183015e+04 -2.402777352053674598e+00
1.034440527483955652e+00 -2.290797303183200392e-02 2.449866208774117382e+01 -4.365292374888166194e+01 4.081855557738345297e-02 1.242348361534808873e+03 1.142753184194384541e+00 -7.304100364383833949e+04 -2.384828966208412115e+00
1.036811979054102162e+00 -2.444470370568038731e-02 2.297696093769652492e+01 -4.090865702608712695e+01 4.352185664203211957e-02 1.087180911496313456e+03 1.137122026976257638e+00 -5.976709936955397279e+04 -2.372326477687282775e+00
1.039183617008129668e+00 -2.597650395931696415e-02 2.163938830744676522e+01 -3.849632735668154027e+01 4.621202715124206328e-02 9.588676586248100193e+02 1.131501027330145348e+00 -4.950913276165866409e+04 -2.359890386309221544e+00
1.041566129763460635e+00 -2.751027423920364423e-02 2.044940301139077832e+01 -3.635005566665508780e+01 4.890118305375357188e-02 8.518070328577510963e+02 1.125902752422177411e+00 -4.135412251299802301e+04 -2.342232769111331159e+00
1.043959592289207761e+00 -2.904602567347100428e-02 1.938386040090929185e+01 -3.442811802350444594e+01 5.158931086570817115e-02 7.613613917320564042e+02 1.120314581522338537e+00 -3.488688073529599205e+04 -2.324844697294405904e+00
1.046364080245170358e+00 -3.058376946392326809e-02 1.842421487757359699e+01 -3.269708141043908256e+01 5.427639693983510316e-02 6.844215066284880322e+02 1.114748262686893421e+00 -2.974088104653646224e+04 -2.312439427278333959e+00
1.048769484157906273e+00 -3.211703490271750755e-02 1.755891427097790114e+01 -3.113612458400969629e+01 5.695112947005165349e-02 6.183109698183909586e+02 1.109191997924214634e+00 -2.555101219888701962e+04 -2.300098389252227093e+00
