# phi_h ps_radius shadow_radius
1.000000000000000021e-02 1.500054124397227850e+00 2.598201611883429241e+00
2.000000000000000111e-01 1.494627942140561716e+00 2.624103566989540948e+00
4.000000000000000222e-01 1.457162909441634069e+00 2.706007594587683585e+00
5.999999999999999778e-01 1.381566636778440271e+00 2.910793631939005532e+00
8.000000000000000444e-01 1.302171766194448077e+00 3.354114465656705235e+00
1.000000000000000000e+00 1.271283669235042657e+00 3.954569238826747490e+00
1.199999999999999956e+00 1.278435044938529774e+00 4.592454512874367012e+00
1.399999999999999911e+00 1.308183997271243459e+00 5.271371920976242187e+00
1.600000000000000089e+00 1.353494979592928305e+00 6.059811655699767208e+00
1.800000000000000044e+00 1.411187823333027502e+00 7.070818405519817773e+00
2.000000000000000000e+00 1.479672290586521166e+00 8.476249186937963032e+00
2.100000000000000089e+00 1.517662620315748834e+00 9.405904667108154982e+00
2.200000000000000178e+00 1.558062258709194348e+00 1.054707124585687339e+01
2.299999999999999822e+00 1.600884024585882859e+00 1.196170673685651309e+01
2.399999999999999911e+00 1.646139764114769033e+00 1.373196855663561600e+01
2.500000000000000000e+00 1.693825252301860207e+00 1.596779344811101886e+01
2.600000000000000089e+00 1.744030773929230671e+00 1.881815786638987120e+01
2.750000000000000000e+00 1.824304250234698443e+00 2.471579186810620499e+01
2.850000000000000089e+00 1.881353992907359940e+00 3.018712412050875216e+01
