# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.214249809181170825e+01 nan -1.081649456452043268e+01
1.003381309559335577e+00 -1.922269996598069039e-04 2.435605935805925526e+01 -5.202182845124497362e+03 4.105754487205692804e-02 inf 1.210592417534219400e+01 -inf -1.607857686555342980e+01
1.006785563208413503e+00 -3.860063104510455577e-04 1.217351934516574197e+01 -2.590631222664487723e+03 8.214551368804556830e-02 5.111363535175567376e+05 1.203339589218916039e+01 -inf -2.130332835759181620e+01
1.010184190862043918e+00 -5.797158907873378427e-04 8.135418347224856461e+00 -1.724982902645390141e+03 1.229193087951179209e-01 1.906515755605057930e+05 1.196100016117287623e+01 -6.005427603748239577e+07 -2.111854004377344651e+01
1.013605841876889624e+00 -7.749929318418059300e-04 6.107882256013119182e+00 -1.290334348757806765e+03 1.637228679409323817e-01 1.015494557083388790e+05 1.188936156401925359e+01 -1.863938780680896714e+07 -2.094214824964335264e+01
1.017019719005844758e+00 -9.700838366256053303e-04 4.897414486170954540e+00 -1.030838740163382909e+03 2.041893743777954962e-01 6.324151562384488352e+04 1.181784951742078960e+01 -8.502763750913977623e+06 -2.076571882200981989e+01
1.020456670080066575e+00 -1.166755509387010226e-03 4.086888479793252316e+00 -8.570775899103144866e+02 2.446849247157798501e-01 4.329848199862676120e+04 1.174709919185418627e+01 -4.626382797346261330e+06 -2.059023805596833867e+01
1.023886081823111471e+00 -1.363260252543461223e-03 3.510629243876210559e+00 -7.335356533239199734e+02 2.848492194794869370e-01 3.147509280570414921e+04 1.167646947243461852e+01 -2.812967777055696119e+06 -2.041836351468485589e+01
1.027338621490815340e+00 -1.561359401164157026e-03 3.076527196274375875e+00 -6.404675305726505030e+02 3.250418202741661711e-01 2.393977443692749512e+04 1.160658100625911970e+01 -1.837714775904485025e+06 -2.024735001531494660e+01
1.030783879533403002e+00 -1.759312249005983656e-03 2.740408746788984828e+00 -5.684039320279857748e+02 3.649090673687742648e-01 1.879890803230127858e+04 1.153680734785950790e+01 -1.269461198777454207e+06 -2.007990068631137959e+01
1.034252323199423618e+00 -1.958873497963344035e-03 2.470332145003256485e+00 -5.104974879897592928e+02 4.048038649469469785e-01 1.516309837792789767e+04 1.146775456257548420e+01 -9.125019411235894077e+05 -1.991320920869785382e+01
1.037713773046281540e+00 -2.158310919087315892e-03 2.250329410041340683e+00 -4.633252749436441604e+02 4.443793853192493648e-01 1.247536675001984258e+04 1.139881092854355948e+01 -6.787163625111988513e+05 -1.975005021641641179e+01
1.041198470353613015e+00 -2.359371130410610994e-03 2.066193897504601917e+00 -4.238417547416399316e+02 4.839816830393928182e-01 1.044863464796895460e+04 1.133056780746962566e+01 -5.178045376241026679e+05 -1.958754786942237658e+01
1.044676492963106496e+00 -2.560331927975082952e-03 1.911055810690884371e+00 -3.905743583766034135e+02 5.232709554612537950e-01 8.870038782882165833e+03 1.126242831887137008e+01 -4.043462275949571049e+05 -1.942855475011220534e+01
1.048177829445422704e+00 -2.762930335697200753e-03 1.777505339068159440e+00 -3.619345689176267342e+02 5.625862145225626332e-01 7.626557128165140966e+03 1.119496894723370772e+01 -3.213581282861992368e+05 -1.927010510015922051e+01
1.051672847949731482e+00 -2.965456077838641777e-03 1.662248044892104204e+00 -3.372162573821848923e+02 6.015949322803442190e-01 6.621703239554543870e+03 1.112760782296108353e+01 -2.597723863595959556e+05 -1.911515761614087694e+01
1.055191251838039301e+00 -3.169634725481025681e-03 1.560966281350027796e+00 -3.154937671400730324e+02 6.406288284043735182e-01 5.804663656687300318e+03 1.106090627277026961e+01 -2.127197054266201740e+05 -1.896062634167869376e+01
1.058703739545916456e+00 -3.373770258880025383e-03 1.471967197456943266e+00 -2.964042964597018113e+02 6.793629652397543683e-01 5.126094050327576952e+03 1.099429771455697136e+01 -1.764614138236947474e+05 -1.880960468907665373e+01
