# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 2.365822192896902010e+01 nan -1.091976611177650369e+01
1.002225501999882029e+00 -2.232559807931275303e-05 1.899284000102286996e+01 -4.479163319376494474e+04 5.265142021657343019e-02 inf 2.363391996764901748e+01 -inf -1.622116109133268580e+01
1.004460931812434010e+00 -4.476073597164071185e-05 9.485028814925643204e+00 -2.234100888407141247e+04 1.054293054362048787e-01 6.714441156046923250e+06 2.358586043542207733e+01 -inf -2.158326381656716109e+01
1.006672423204300504e+00 -6.696559016308621323e-05 6.347760143595045257e+00 -1.493304244111978551e+04 1.575358831113066183e-01 2.513142431830034591e+06 2.353794089412256696e+01 -1.210771531770760298e+09 -2.142532436092205828e+01
1.008893674031251964e+00 -8.927856941271209866e-05 4.767195673031221048e+00 -1.120089632459559834e+04 2.097669297816235900e-01 1.347403069823791040e+06 2.349088749557554934e+01 -3.780003868923974037e+08 -2.127041006959842662e+01
1.011090372661668901e+00 -1.113550556424854721e-04 3.826763389154009154e+00 -8.980283779935254643e+03 2.613174367754866889e-01 8.431558276737232227e+05 2.344396929749758129e+01 -1.740928211002772450e+08 -2.111655878900318584e+01
1.013296658059486210e+00 -1.335381865729220097e-04 3.194986660479055995e+00 -7.488494682035568076e+03 3.129903521569195046e-01 5.808751590890282532e+05 2.339791162449629880e+01 -9.543864946445231140e+07 -2.096580850798114781e+01
1.015477747405580500e+00 -1.554782744121640983e-04 2.747457724981400506e+00 -6.431766777582420218e+03 3.639728432970773531e-01 4.244307074203529628e+05 2.335198443876397789e+01 -5.857171621887833625e+07 -2.081687344736161904e+01
1.017668246458898862e+00 -1.775234592441927376e-04 2.409199578125966745e+00 -5.633058325122247879e+03 4.150756164326848685e-01 3.248237239328898722e+05 2.330690882202177150e+01 -3.856869577458109707e+07 -2.066929698222281431e+01
1.019833258961224454e+00 -1.993225705737246744e-04 2.148290688677996663e+00 -5.016993294445416723e+03 4.654863539977331932e-01 2.564443072880488471e+05 2.326195907691086973e+01 -2.689041669001984596e+07 -2.052342406708898181e+01
1.022007502904629828e+00 -2.212251990015258669e-04 1.937927326150595597e+00 -4.520280711751569470e+03 5.160152222975002978e-01 2.081393099823297234e+05 2.321785242185018561e+01 -1.949001398168256879e+07 -2.038069642917582058e+01
1.024155582244770102e+00 -2.428747878919788655e-04 1.767279608714378725e+00 -4.117347908687667768e+03 5.658414181146229627e-01 1.722021660583920602e+05 2.317386711820016743e+01 -1.463309404256395251e+07 -2.023911823806056631e+01
1.026312710370939296e+00 -2.646262458355849723e-04 1.623947303667119924e+00 -3.778914660722316967e+03 6.157835280380391518e-01 1.451408042550747923e+05 2.313071881890016712e+01 -1.125987590144585818e+07 -2.009985166166216430e+01
1.028443160364085340e+00 -2.861193184987522635e-04 1.503722807139325823e+00 -3.495045372143792974e+03 6.650161820065725315e-01 1.239245685171478544e+05 2.308768743401414270e+01 -8.876749979819037020e+06 -1.996203285455134235e+01
1.030582473656955989e+00 -3.077125610649089128e-04 1.399849539294510281e+00 -3.249786087832339035e+03 7.143624882028216661e-01 1.072391830920940556e+05 2.304548566390354480e+01 -7.117618215069935657e+06 -1.982660669674597287e+01
