# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.032629336683626775e+00 nan -1.011951758996830320e+00
1.002351270226486735e+00 -1.940120481341327946e-03 4.118632065929279520e+02 -5.154319072538406772e+02 2.427990614340957976e-03 inf 1.030249964642056648e+00 -inf -1.510814075800034351e+00
1.004713623455463223e+00 -3.880593569285052582e-03 2.059218851688379743e+02 -2.576925365013777309e+02 4.856210398326954447e-03 7.256379914501807070e+04 1.025507928019091741e+00 -inf -2.000263662746215143e+00
1.007087138233699886e+00 -5.821422088572200497e-03 1.372747513177655776e+02 -1.717793324011086042e+02 7.284660801790021623e-03 2.708334252593345082e+04 1.020776979955665853e+00 -1.222266379654492997e+07 -1.981288103209120077e+00
1.009471893851954682e+00 -7.762608892588932288e-03 1.029511642712954824e+02 -1.288226695221903526e+02 9.713343283469955125e-03 1.440505983565041788e+04 1.016080423490671070e+00 -3.807056971538843121e+06 -1.972220875726219624e+00
1.011844281412778823e+00 -9.685004876250895289e-03 8.251981954688105247e+01 -1.032524002597202610e+02 1.211830085779430632e-02 8.972627421412524200e+03 1.011394842869067778e+00 -1.737481256968330592e+06 -1.963245219197081282e+00
1.014227846067234040e+00 -1.160775776374772979e-02 6.885397936516487505e+01 -8.614928226044715132e+01 1.452348882693521581e-02 6.141682002565524272e+03 1.006743323041294103e+00 -9.430667852866820758e+05 -1.944626551497341760e+00
1.016622666990244728e+00 -1.353087040990793438e-02 5.907055331735995907e+01 -7.390507555727924682e+01 1.692890863282492386e-02 4.466290696011507862e+03 1.002102667401835623e+00 -5.716744819601787021e+05 -1.924443621569541296e+00
1.019028824106304576e+00 -1.545434569845257483e-02 5.172085171467540476e+01 -6.470671871279084542e+01 1.933456172602543433e-02 3.397085369177681059e+03 9.975041114767093653e-01 -3.751533972250611405e+05 -1.917399545620114054e+00
1.021413738062464382e+00 -1.735225479887648678e-02 4.606592036040805738e+01 -5.762939811515143163e+01 2.170802172574115563e-02 2.668904106921588209e+03 9.929162699049279839e-01 -2.600264674189769721e+05 -1.910477200744153725e+00
1.023809841412514521e+00 -1.925052249213847141e-02 4.152528760304892330e+01 -5.194664198898393437e+01 2.408171159605831946e-02 2.153894328374915858e+03 9.883700869168320358e-01 -1.864019828022714646e+05 -1.890672777780427083e+00
1.026217213088191915e+00 -2.114915163158599676e-02 3.779913371502485120e+01 -4.728322050074634575e+01 2.645563275442230911e-02 1.773526837784784220e+03 9.838344704350368009e-01 -1.383395743564171134e+05 -1.871120395549976223e+00
1.028635932765380678e+00 -2.304814509926405089e-02 3.468634759445728122e+01 -4.338743945307472671e+01 2.882978662647650570e-02 1.486254904814226393e+03 9.793398889556967912e-01 -1.060614912357435096e+05 -1.864316884744075642e+00
1.031033316030171232e+00 -2.492195448140202552e-02 3.207983055586807097e+01 -4.012526388113936093e+01 3.117223447481953791e-02 1.262723777813606375e+03 9.748557284016391433e-01 -8.316641340076734195e+04 -1.857631067799287106e+00
1.033441900290132276e+00 -2.679612411279129122e-02 2.983746494634852553e+01 -3.731882998417088260e+01 3.351491159849284696e-02 1.086559822860072472e+03 9.704121743708837844e-01 -6.594907627748734376e+04 -1.838443828453653728e+00
1.035861764228596327e+00 -2.867065684484387117e-02 2.788792004128213620e+01 -3.487886606196955341e+01 3.585781938989041073e-02 9.442920792737734246e+02 9.659788976102363645e-01 -5.320694563235397072e+04 -1.819476903705141702e+00
1.038292987267592338e+00 -3.054555555748608708e-02 2.617735312552851923e+01 -3.273798697548719616e+01 3.820095924919109098e-02 8.284483017925346076e+02 9.615857336575304171e-01 -4.379171094713934872e+04 -1.812928814209850525e+00
1.040702656242155077e+00 -3.239554987737196939e-02 2.468358599337589965e+01 -3.086843729417576299e+01 4.051275208830518171e-02 7.323011354896932517e+02 9.572027049923773623e-01 -3.649218302715101890e+04 -1.806495052462077089e+00
1.043123535947626523e+00 -3.424590603196379229e-02 2.335096996397148672e+01 -2.920057069205992306e+01 4.282477351231717133e-02 6.521710352391643255e+02 9.528593713663714437e-01 -3.051140302024666744e+04 -1.787880743257542759e+00
1.045555704801536923e+00 -3.609662686984305147e-02 2.215476103012065323e+01 -2.770341959113777008e+01 4.513702488780824140e-02 5.842278150175662859e+02 9.485260329269648016e-01 -2.578023265610765520e+04 -1.769558638648834892e+00
1.047999241954485683e+00 -3.794771526790705757e-02 2.107503430104500453e+01 -2.635204762500457321e+01 4.744950758872146235e-02 5.264742000195535638e+02 9.442315236824218028e-01 -2.210461201408346824e+04 -1.763177822854274712e+00
