# phi_h ps_radius shadow_radius
1.000000000000000021e-02 1.499939354170612749e+00 2.598183486606595149e+00
1.000000000000000056e-01 1.500152231277459114e+00 2.607301644106905680e+00
2.000000000000000111e-01 1.500791907179130247e+00 2.633306738970139005e+00
2.999999999999999889e-01 1.501819381436434009e+00 2.676547422677779231e+00
4.000000000000000222e-01 1.503311129774791643e+00 2.739770538082880957e+00
5.000000000000000000e-01 1.505732756613475720e+00 2.828193250219479093e+00
5.500000000000000444e-01 1.507519651906706670e+00 2.884559767361401850e+00
5.999999999999999778e-01 1.509860446313827875e+00 2.951302865303588430e+00
6.500000000000000222e-01 1.512852873195276837e+00 3.031044871110255556e+00
6.999999999999999556e-01 1.516547518177114862e+00 3.127729480127399153e+00
8.000000000000000444e-01 1.525887992001429883e+00 3.401342565951909425e+00
9.000000000000000222e-01 1.535260242784867613e+00 3.920762422828949489e+00
9.899999999999999911e-01 1.531411150570184621e+00 6.077335533463989137e+00
9.989999999999999991e-01 1.525421471609390123e+00 9.097189291578068548e+00
9.995000000000000551e-01 1.524208136694927607e+00 1.022820127755061392e+01
