# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr, d2gtt/dr2, d2grr/dr2
1.000000000000000000e+00 -0.000000000000000000e+00 inf -inf 0.000000000000000000e+00 inf 1.058880767185347516e+00 nan -9.956804814959545613e-01
1.004140064273529198e+00 -7.276575737735519345e-04 2.281108045983059469e+02 -1.374272784400649243e+03 4.383834434151245851e-03 inf 1.054758585996055764e+00 -inf -1.473954491617708529e+00
1.008314551323944874e+00 -1.455676747040372419e-03 1.140271086531011946e+02 -6.869657030883831794e+02 8.769844397635728761e-03 1.098416942629124096e+05 1.046625496915633002e+00 -inf -1.950115303711754677e+00
1.012462921555236095e+00 -2.173553748099923532e-03 7.636648816047775767e+01 -4.600760394695459468e+02 1.309474907237562213e-02 4.095053880415006279e+04 1.038528054640390330e+00 -1.056066281987114996e+07 -1.925807711361396946e+00
1.016645566941177803e+00 -2.891793777930167907e-03 5.739922556945720089e+01 -3.458061247769059605e+02 1.742183783977935274e-02 2.186064738223472159e+04 1.030581562796493600e+00 -3.276791307096555363e+06 -1.901544379539192198e+00
1.020802625214532799e+00 -3.600169256180095218e-03 4.610527126542920229e+01 -2.777647185013281046e+02 2.168949390283325673e-02 1.362307034960528836e+04 1.022669738020032248e+00 -1.499345136693182169e+06 -1.877876184730901121e+00
1.024993819447634680e+00 -4.308909262736587351e-03 3.852177608366166339e+01 -2.320772935851752550e+02 2.595934304348268551e-02 9.343735586791934111e+03 1.014904578230498178e+00 -8.167384396601688350e+05 -1.854445917555558321e+00
1.029159082965036109e+00 -5.007907816001185702e-03 3.314495823711485656e+01 -1.996841868384270526e+02 3.017050113160879565e-02 6.798030085373090515e+03 1.007173139059385880e+00 -4.978954098674791167e+05 -1.831572466170657387e+00
1.033358337342251465e+00 -5.707272315157769886e-03 2.908341230678332323e+01 -1.752150492879287640e+02 3.438386078812227797e-02 5.179080521307846539e+03 9.995843575619263177e-01 -3.257115890222847229e+05 -1.808768564307601689e+00
1.037532049118965238e+00 -6.397137319942167166e-03 2.594707664910145439e+01 -1.563199209250428225e+02 3.853998712547179739e-02 4.070857974547026060e+03 9.920283810901473487e-01 -2.255417070266293595e+05 -1.786528024780145829e+00
1.041739612683905136e+00 -7.087369734063120666e-03 2.342012311208243247e+01 -1.410960677264835681e+02 4.269832379677374057e-02 3.288753373691081379e+03 9.846109742806632426e-01 -1.623700814645785722e+05 -1.764460378367186610e+00
1.045921522120239366e+00 -7.768256544917233157e-03 2.136735960064866902e+01 -1.287290132886122933e+02 4.680035431095763698e-02 2.708658559885263458e+03 9.772254883840179041e-01 -1.210580509729648620e+05 -1.742934787474615055e+00
1.050137142195469053e+00 -8.449512187230778792e-03 1.964458865814665600e+01 -1.183500275330968492e+02 5.090460367493099270e-02 2.272164818033199936e+03 9.699746279661137782e-01 -9.250661691585605149e+04 -1.721472841008174548e+00
1.054327494893900097e+00 -9.121652568504999212e-03 1.819705917015506458e+01 -1.096292576909554271e+02 5.495393462478248559e-02 1.931050456707114336e+03 9.627548345519068018e-01 -7.240535586447507376e+04 -1.700542641261994392e+00
